	url-localized	lang	question	model_id	output_text	title	has_fluency_mistakes	has_factual_mistakes
35	https://cs.wikipedia.org/wiki/Josef_Kemr	CS	Uveďte jméno českého legendárního herce, který za svůj život ztvárnil více jako 150 rolí, a v roce 1993 získal Cenu Thálie za celoživotní mistrovství.	meta-llama/Meta-Llama-3-8B-Instruct	Jmenem českého legendárního herce, který za svůj život ztvárnil více než 150 rolí a v roce 1993 získal Cenu Thálie za celoživotní mistrovství, je Miloš Kopecký.	Josef Kemr	n	y
226	https://cs.wikipedia.org/wiki/V%C3%A1clav_Klaus	CS	Jaký dokument podepsali společně dne 8. července 1992 Václav Klaus a Vladimír Mečiar ve vile Tugendhat?	meta-llama/Meta-Llama-3-8B-Instruct	"A historical question!

On July 8, 1992, Václav Klaus, the President of the Czech Republic, and Vladimír Mečiar, the Prime Minister of Slovakia, signed the Bratislava Agreement (also known as the Bratislava Declaration) in the Tugendhat Villa in Bratislava, Slovakia.

The Bratislava Agreement was a treaty that aimed to resolve the outstanding issues between the Czech Republic and Slovakia, including the division of assets, debts, and liabilities, as well as the border between the two countries. The agreement marked the formal end of Czechoslovakia and the establishment of two separate independent states.

The Tugendhat Villa, where the agreement was signed, is a significant cultural and historical landmark in Bratislava, known for its Art Deco architecture and its role in the country's history."	Václav Klaus	y	y
105	https://cs.wikipedia.org/wiki/Svat%C3%BD_V%C3%A1clav	CS	Kým byl podle legendy zavražděn sv. Václav?	mistralai/Mistral-7B-Instruct-v0.3	Podle legendy byl svatý Václav zavražděn roku 935 svým synem Boleslavem I. na Starém Městě pražském. Tento čin je považován za jeden z největších hříchů v české historii.	Svatý Václav	n	y
258	https://cs.wikipedia.org/wiki/V%C3%ADt%C4%9Bzslav_Nezval	CS	Kdo je autorem básní Edison a Signál času?	meta-llama/Meta-Llama-3-8B-Instruct	"Autory básní ""Edison"" a ""Signál času"" je český básník a spisovatel Miroslav Holub (1923-1998). Holub byl známý svými básněmi, které často obsahovaly prvky sci-fi a experimentální formy. Básně ""Edison"" a ""Signál času"" jsou součástí jeho sbírky ""Edison"" z roku 1969."	Vítězslav Nezval	n	y
142	https://cs.wikipedia.org/wiki/Nov%C3%A9_Vesel%C3%AD	CS	Jaký český politik je spojen s městysem Nové Veselí na Vysočině?	mistralai/Mistral-7B-Instruct-v0.3	Politikem spojeným s městysem Nové Veselí na Vysočině je Tomio Okamura. Tento český politik, který pochází z Japonska, zde vyrůstal a v roce 2017 zde založil vlastní politickou stranu SPD (Strana svobody a přímé demokracie – Tomio Okamura). V roce 2018 se stal poslancem Parlamentu ČR a v roce 2021 se stal ministrem vnitra ve vládě Andreje Babiše.	Nové Veselí	n	y
238	https://cs.wikipedia.org/wiki/Ob%C4%8Dansk%C3%A1_demokratick%C3%A1_strana	CS	Kdo byl první předseda ODS?	meta-llama/Meta-Llama-3-8B-Instruct	Prvním předsedou Občanské demokratické strany (ODS) byl Václav Klaus, který funkci zastával od 21. ledna 1992 do 8. ledna 1997. Klaus byl také prvním předsedou vlády České republiky v letech 1992-1998.	Občanská demokratická strana	n	y
231	https://cs.wikipedia.org/wiki/Rakousko-Uhersko	CS	Jak se jmenovala česká šlechtična, manželka zavražděného následníka trůnu Ferdinanda d´Este?	meta-llama/Meta-Llama-3-8B-Instruct	Česká šlechtična, manželka zavražděného následníka trůnu Ferdinanda d´Este, se jmenovala Marie Beatrice Savojská. Byla dcerou Viktora Emanuela II., krále Sardince, a Marie Adély z Áustria. V roce 1848 se provdala za Ferdinanda d´Este, následníka trůnu Rakouska, který byl zavražděn v Terstu v roce 1850. Po jeho smrti se stala vdovou a později se znovu provdala za Františka V. Habsburského, císaře Rakouska.	Rakousko-Uhersko	n	y
236	https://cs.wikipedia.org/wiki/%C4%8Cesk%C3%BD_slav%C3%ADk	CS	Jak se jmenuje největší každoroční anketa popularity českých zpěváků, zpěvaček a skupin, organizovaná od roku 1996?	meta-llama/Meta-Llama-3-8B-Instruct	"Největší každoroční anketa popularity českých zpěváků, zpěvaček a skupin, organizovaná od roku 1996, se jmenuje ""Zlatý slavík""."	Český slavík	n	y
46	https://cs.wikipedia.org/wiki/FK_Viktoria_%C5%BDi%C5%BEkov	CS	Jaký profesionální fotbalový klub sídlí v pražském Žižkově?	meta-llama/Meta-Llama-3-8B-Instruct	V pražském Žižkově sídlí profesionální fotbalový klub SK Slavia Praha.	FK Viktoria Žižkov	n	y
11	https://cs.wikipedia.org/wiki/Osudy_dobr%C3%A9ho_voj%C3%A1ka_%C5%A0vejka_za_sv%C4%9Btov%C3%A9_v%C3%A1lky	CS	Jak se jmenuje autor románu Osudy dobrého vojáka Švejka za světové války?	meta-llama/Meta-Llama-3-8B-Instruct	"Autorem románu ""Osudy dobrého vojáka Švejka za světové války"" je Jaroslav Hašek."	Osudy dobrého vojáka Švejka za světové války	n	y
272	https://cs.wikipedia.org/wiki/Vodn%C3%AD_n%C3%A1dr%C5%BE_Hracholusky	CS	Na které řece bylo nedaleko Plzně dokončeno v roce 1964 vodní dílo Hracholusky?	meta-llama/Meta-Llama-3-8B-Instruct	Vodní dílo Hracholusky bylo dokončeno v roce 1964 na řece Berounce, která je přítokem Úhlavy, která je přítokem Berounky. Berounce protéká nedaleko Plzně.	Vodní nádrž Hracholusky	m	y
48	https://cs.wikipedia.org/wiki/%C4%8Ceskoslovensk%C3%A1_televize	CS	Od jakého roku bylo v Československu veřejné vysílání Československé televize?	meta-llama/Meta-Llama-3-8B-Instruct	V Československu bylo veřejné vysílání Československé televize započato 2. května 1953. To byla první vysílající stanice ČST (Československá televize), která začala vysílat v černobílém obrazu. Kolorové vysílání bylo zavedeno v roce 1970. Po rozdělení Československa v roce 1993 pokračovala ČT (Česká televize) v vysílání jako samostatná televize.	Československá televize	m	y
192	https://cs.wikipedia.org/wiki/Jaroslav_Du%C5%A1ek	CS	Kdo zahrál postavu Saši Mašlana ve filmu Pelíšky?	mistralai/Mistral-7B-Instruct-v0.3	Postava Saši Mašlana ve filmu Pelíšky zahrál herec Jiří Mádl.	Jaroslav Dušek	n	y
129	https://cs.wikipedia.org/wiki/%C4%8Ceskoslovensko	CS	Kde sídlila exilová vláda Edvarda Beneše během nacistické okupace?	mistralai/Mistral-7B-Instruct-v0.3	Exilová vláda Edvarda Beneše sídlila v Londýně během nacistické okupace Československa. Zde fungovala od 16. prosince 1939 do 4. května 1945.	Československo	n	y
250	https://cs.wikipedia.org/wiki/Jihlava	CS	Pod jakým městem se nachází známá svítící chodba?	meta-llama/Meta-Llama-3-8B-Instruct	"You're referring to the famous glowing cave!

There are several options, but I'll give you a few:

1. **Glowworm Grotto** in Waitomo, New Zealand - a popular tourist attraction featuring a subterranean cave filled with thousands of glowworms.
2. **Hang Son Doong Cave** in Phong Nha-Ke Bang National Park, Vietnam - the world's largest cave, with a massive chamber that's illuminated by a natural light source.
3. **Mammoth Cave** in Kentucky, USA - a vast network of underground passages, including the ""Glowing Grotto"" section, which features bioluminescent organisms.
4. **Cueva de los Cristales** (Cave of the Crystals) in Naica, Mexico - a cave filled with giant selenite crystals that reflect light and create a glowing effect.

Which one were you thinking of?"	Jihlava	y	y
168	https://cs.wikipedia.org/wiki/Post%C5%99i%C5%BEiny_%28film%29	CS	Jak se jmenuje celovečerní film režiséra Jiřího Menzela z roku 1980 podle knihy Bohumila Hrabala, který vypráví o pivovaru a rodině jeho správce za první republiky?	mistralai/Mistral-7B-Instruct-v0.3	"Film se jmenuje ""Ostře sledované vlaky"" (anglicky ""Closely Watched Trains""). Tento československý celovečerní film režiséra Jiřího Menzela z roku 1966 je adaptací stejnojmenné knihy Bohumila Hrabala. Film vypráví o mladém pivovarském pomocníkovi Miloši Hrmačce a jeho životě v malé vesnici v době první republiky."	Postřižiny (film)	n	y
36	https://cs.wikipedia.org/wiki/%C4%8Cesk%C3%BD_slav%C3%ADk	CS	Jak se jmenuje největší každoroční anketa popularity českých zpěváků, zpěvaček a skupin, organizovaná od roku 1996?	meta-llama/Meta-Llama-3-8B-Instruct	"Nejdůležitější a nejznámější českou ankétou popularity českých zpěváků, zpěvaček a skupin je anketa ""Zlatý slavík"". Organizuje ji od roku 1960 (původně pod názvem ""Slavík zlato"") Český rozhlas a Český televizní spolek. Anketa je každoročně hlasována českými diváky a přináší seznam nejpopulárnějších českých hudebníků. Od roku 1996 je anketa oficiálně nazývána ""Zlatý slavík""."	Český slavík	n	y
52	https://cs.wikipedia.org/wiki/Luk%C3%A1%C5%A1_Bauer	CS	Jakou medaili vybojoval Lukáš Bauer na ZOH 2006 v Turíně?	meta-llama/Meta-Llama-3-8B-Instruct	"Lukáš Bauer na ZOH 2006 v Turíně vybojoval dvě medaile:

* Bronzovou medaili v běhu na 15 km
"	Lukáš Bauer	n	y
13	https://cs.wikipedia.org/wiki/Jim_%C4%8Cert	CS	Na jaký nástroj hraje Jim Čert?	meta-llama/Meta-Llama-3-8B-Instruct	Jim Čert, český hudebník a člen kapely Kabát, hraje na kytaru.	Jim Čert	n	y
216	https://cs.wikipedia.org/wiki/Fimf%C3%A1rum_%28kniha%29	CS	Kdo je autorem knihy Fimfárum?	meta-llama/Meta-Llama-3-8B-Instruct	"Autorem knihy ""Fimfárum"" je český spisovatel a ilustrátor Petr Sís. Kniha ""Fimfárum"" byla poprvé vydána v roce 1994 a patří mezi nejznámější a nejpopulárnější knihy Petra Síse."	Fimfárum (kniha)	n	y
251	https://cs.wikipedia.org/wiki/Protektor%C3%A1t_%C4%8Cechy_a_Morava	CS	Kdo byl prezidentem v době Protektorátu Čechy a Morava?	meta-llama/Meta-Llama-3-8B-Instruct	V době Protektorátu Čechy a Morava (15. března 1939 - 5. května 1945) byl prezidentem Emil Hácha. Po okupaci Československa Německem v březnu 1939 byl prezident Hácha donucen podepsat prohlášení o vzdání se moci, ale zůstal prezidentem v titule a byl používán jako figurahead (symbolické hlavy státu) protektorátní vlády. De facto však byla moc v protektorátu v rukou německého protektora Reinharda Heydricha. Po Heydrachově smrti v červnu 1942 byl protektorem jmenován Kurt Daluege. Emil Hácha zemřel 26. dubna 1945, krátce před koncem války.	Protektorát Čechy a Morava	m	y
57	https://cs.wikipedia.org/wiki/Bahna	CS	Jaká událost se označuje jako Bahna?	meta-llama/Meta-Llama-3-8B-Instruct	"Bahna je označení pro jednu z nejvýznamnějších událostí v dějinách islámu, konkrétně pro bitvu o Bahnu, která se odehrála v roce 683. Tato bitva byla rozhodující pro osud kalifátu Omayyovců a znamenala počátek rozkladu jejich moci.

Bitva o Bahnu se konala v údolí Bahna v dnešním Sýrii, kde se střetly síly kalifátu Omayyovců s armádou Abbásovců, kteří se snažili o moc. Kalif Mu'ávija II. byl zabit v bitvě a Abbásovcové tak získali kontrolu nad Bagdádem a kalifátem.

Tato událost je považována za začátek rozkladu kalifátu Omayyovců a začátku období Abbásovců, kteří vládli islámskému světě až do 13. století."	Bahna	n	y
291	https://cs.wikipedia.org/wiki/Divok%C3%A1_%C5%A0%C3%A1rka	CS	Podle jaké pověsti byla pojmenována přírodní rezervace Divoká Šárka?	meta-llama/Meta-Llama-3-8B-Instruct	"Podle pověsti byla pojmenována přírodní rezervace Divoká Šárka podle legendy o Šárce, které se údajně odehrálo v těchto místech. Šárka byla podle legendy krásná dívka, která byla milenkou krále Přemysla Otakara II. Král však Šárku opustil a ona se proto stala smutnou a zoufalou. Podle legendy se Šárka poté odebrala do lesů a hájů, kde se jí ztratila a její duše se proměnila v divokou šáreckou dceru, která se stala symbolem přírody a jejího divokého charakteru.

Přírodní rezervace Divoká Šárka byla pojmenována podle této legendy, aby připomínala krásu a divokost přírody, které jsou úzce spojeny s legendou o Šárce. Rezervace se nachází v Praze a je známá svými úžasnými lesními komplexy, skalními útesy a vodními toky."	Divoká Šárka	n	y
181	https://cs.wikipedia.org/wiki/Rud%C3%A9_pr%C3%A1vo	CS	Co bylo Rudé právo?	mistralai/Mistral-7B-Instruct-v0.3	"Rudé právo (Red Right) byl československý deník, který vycházel v letech 1945–1990. Byl oficiálním orgánem Komunistické strany Československa (KSČ) a vydával se v pražském nakladatelství Rudé právo. Deník vycházel v češtině, slovenštině a rusínštině.
"	Rudé právo	n	y
21	https://cs.wikipedia.org/wiki/Klement_Gottwald	CS	Jak se v Čechách nazývá období od konce druhé světové války do tzv. Vítězného února?	meta-llama/Meta-Llama-3-8B-Instruct	V Česku se období od konce druhé světové války do tzv. Vítězného února (21. srpna 1968) nazývá Normalizace. Normalizace byla období vlády komunistického režimu v Československu, které následovalo po invazi vojsk Varšavské smlouvy v srpnu 1968 a ukončilo období pražského jara, kdy se československý komunistický režim snažil reformovat a liberalizovat. Normalizace byla charakterizována úzkostí a represáliemi proti opozici, politickým terorem a útlakem.	Klement Gottwald	n	y
198	https://cs.wikipedia.org/wiki/Ota_Pavel	CS	Kdo napsal knihu Smrt krásných srnců?	mistralai/Mistral-7B-Instruct-v0.3	Knihu Smrt krásných srnců napsal český spisovatel Jaroslav Foglar. Tato kniha je částí cyklu o Jánečkových praporkách a byla vydána poprvé v roce 1940.	Ota Pavel	n	y
284	https://cs.wikipedia.org/wiki/Ji%C5%99%C3%AD_%C5%A0litr	CS	Jak se nazývá divadlo, které založil Šlitr, Suchý a Havlík?	meta-llama/Meta-Llama-3-8B-Instruct	"A Czech question!

The answer is ""Divadlo Semafor"" (Semafor Theatre). It was founded in 1964 by Jiří Šlitr, Jiří Suchý, and Miloš Havlík, three prominent Czech actors, writers, and musicians. The theatre was known for its innovative and irreverent approach to comedy, music, and drama, and it played an important role in Czech cultural life during the 1960s and 1970s."	Jiří Šlitr	y	n
299	https://cs.wikipedia.org/wiki/Pern%C5%A1tejn_%28hrad%29	CS	V jakém architektonickém slohu je hrad Pernštejn?	meta-llama/Meta-Llama-3-8B-Instruct	"Hrad Pernštejn je renesanční hrad, který byl postaven v 16. století v jihočeském kraji v České republice. Architektonicky je hrad Pernštejn charakteristický kombinací renesančních a gotických prvků, které byly použity v jeho výstavbě.

Hrad byl postaven na místě staršího hradu, který byl založen již v 13. století. V 16. století byl hrad přestavěn a rozšířen v renesančním slohu, který byl tehdy v Čechách populární. Renesanční přestavba hradu byla provedena v letech 1550-1560 za vlády Jana z Pernštejna, který byl významným šlechticem a politikem té doby.

Hrad Pernštejn je charakteristický svou symetričností, která byla typická pro renesanční architekturu. Hrad má čtvercový půdorys, který je obklopený vodním příkopem a hradbou. V hradě se nachází několik budov, včetně věže, paláce a kaple, které jsou všechny postaveny v renesančním slohu.

Navzdory své renesanční architektuře má hrad Pernštejn také některé gotické prvky, které byly použity v jeho starší části. Tyto prvky, jako jsou například gotické okna a portály, jsou však dnes již integrovány do celkového renesančního vzhledu hradu.

Celkově lze říci, že hrad Pernštejn je renesanční hrad, který byl postaven v 16. století a který kombinuje prvky renesančního a gotického slohu."	Pernštejn (hrad)	n	y
176	https://cs.wikipedia.org/wiki/Rad%C5%AFza	CS	Která česká zpěvačka si říká uměleckým jménem Radůza?	mistralai/Mistral-7B-Instruct-v0.3	Zpěvačka, která si říká uměleckým jménem Radůza, je Tereza Kmochová. Její pravé jméno je Tereza Kmochová, ale pro svou hudební kariéru si v roce 2011 vytvořila umělecké jméno Radůza. Je známá především díky svému účinkování v pěvecké skupině Exit 99 a své sólové kariéře.	Radůza	n	y
87	https://cs.wikipedia.org/wiki/Hybernsk%C3%A1	CS	Jak se nazývá nejstarší pražské nádraží, které se nachází na Hybernské ulici?	meta-llama/Meta-Llama-3-8B-Instruct	 Nejstarší pražské nádraží, které se nachází na Hybernské ulici, se nazývá nádraží Praha-Hybernská.	Hybernská	n	y
8	https://cs.wikipedia.org/wiki/Kladno	CS	Pro který sport je známo město Kladno?	meta-llama/Meta-Llama-3-8B-Instruct	Město Kladno je známé zejména díky hokejovému týmu HC Rytíři Kladno, který hraje nejvyšší českou soutěž, Extraligu. Tým byl založen v roce 1903 a má bohatou historii v českém hokeji. Domovským stadionem týmu je ČEZ Aréna s kapacitou přes 8 000 diváků.	Kladno	n	n
207	https://cs.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Ba%C5%A5a	CS	Ve kterém městě založil firmu Tomáš Baťa?	meta-llama/Meta-Llama-3-8B-Instruct	"Tomáš Baťa založil firmu Bata v městě Zlín, které se nachází v jihovýchodních Čechách, v okrese Zlín. Firma byla založena v roce 1894 a původně se jmenovala ""Baťa & cie."" Později se firma rozrostla a změnila název na ""Bata Shoe Company"". Dnes je Bata jednou z největších světových výrobců obuvi."	Tomáš Baťa	n	y
264	https://cs.wikipedia.org/wiki/Martin_Stropnick%C3%BD	CS	Jak se jmenuje český herec, který by v letech 2017-2018 ministrem zahraničních věcí ČR?	meta-llama/Meta-Llama-3-8B-Instruct	"A clever question!

The answer is: Ondřej Vetchý.

In 2017-2018, Ondřej Vetchý, a well-known Czech actor, played the role of Minister of Foreign Affairs of the Czech Republic in the Czech TV series ""Křižáci"" (Crusaders)."	Martin Stropnický	y	y
55	https://cs.wikipedia.org/wiki/R%C3%A1kosn%C3%AD%C4%8Dek	CS	Kdo namluvil Rákosníčka?	meta-llama/Meta-Llama-3-8B-Instruct	"Rákosníček je hrdina románu ""Rákosníček a jeho přátelé"" od francouzského spisovatele Ludwiga Bemonta. Román byl poprvé publikován v roce 1894 a stal se klasikou francouzské literatury.

Rákosníček je hlavní hrdina románu, který je popisován jako šelmíček, který žije v rákosí a je známý svou inteligencí, humorem a láskou k přírodě. Rákosníček má schopnost mluvit a komunikovat s ostatními zvířaty, ale také s lidmi.

Ludwig Bemont byl francouzský spisovatel a novinář, který se specializoval na děti a mládež. Román ""Rákosníček a jeho přátelé"" byl jeho nejznámějším dílem a stal se klasikou francouzské literatury pro děti."	Rákosníček	n	y
131	https://cs.wikipedia.org/wiki/Rakousko-Uhersko	CS	Jak se jmenovala česká šlechtična, manželka zavražděného následníka trůnu Ferdinanda d´Este?	mistralai/Mistral-7B-Instruct-v0.3	Ta česká šlechtična, manželka zavražděného následníka trůnu Ferdinanda d'Este, se jmenovala Alžběta Bavorská. Byla dcerou bavorského vévody Maxmiliána I. a Marie Habsburské. Její manžel Ferdinand d'Este byl v roce 1537 zavražděn v Modeně, což vedlo k jejímu útěku do Čech, kde se stala v roce 1540 druhou manželkou krále Ferdinanda I. Habsburského.	Rakousko-Uhersko	n	y
94	https://cs.wikipedia.org/wiki/Slavonice	CS	V jakém kraji se nachází město Slavonice?	meta-llama/Meta-Llama-3-8B-Instruct	Město Slavonice se nachází v Jihočeském kraji, v okrese Jindřichův Hradec, v České republice.	Slavonice	n	n
240	https://cs.wikipedia.org/wiki/Kop%C5%99ivnice	CS	V jakém městě sídlí automobilka Tatra?	meta-llama/Meta-Llama-3-8B-Instruct	Automobilka Tatra sídlí v Kopřivnici, která je součástí města Kopřivnice v Česku.	Kopřivnice	n	n
