	url	title	langs	question
0	https://en.wikipedia.org/wiki/1997%E2%80%9398_Asian_Club_Championship	1997–98 Asian Club Championship	en,fr,zh	
4	https://en.wikipedia.org/wiki/Arcade_(architecture)	Arcade (architecture)	en,fr,fi,sv,zh	How are blind arcades different from regular arcades?
5	https://en.wikipedia.org/wiki/Argyrosomus_hololepidotus	Argyrosomus hololepidotus	en,sv,zh	
7	https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Supporting_Role	BAFTA Award for Best Actor in a Supporting Role	en,fr,fi,sv,zh	Is there any year when the BAFTA Award for Best Actor in a Supporting Role hasn’t been awarded?
9	https://en.wikipedia.org/wiki/Beauvechain	Beauvechain	en,fr,fi,sv,zh	is there an airfield in Beauvechain?
12	https://en.wikipedia.org/wiki/Brothers_in_Arms_(album)	Brothers in Arms (album)	en,fr,fi,sv	Did the album Brothers in Arms win any awards?
16	https://en.wikipedia.org/wiki/Chris_Claremont	Chris Claremont	en,fr,fi,sv	Is Chris Claremont the sole writer of Days of Future Past?
22	https://en.wikipedia.org/wiki/FC_Zhenis	FC Zhenis	en,fr,fi,zh	What is the home stadium of FC Zhenis?
23	https://en.wikipedia.org/wiki/Frances_Farmer	Frances Farmer	en,fr,fi,sv	When was Frances Farmer first interned in a psychiatric institution?
26	https://en.wikipedia.org/wiki/Ghislain_Konan	Ghislain Konan	en,fr,zh	
27	https://en.wikipedia.org/wiki/Gianrico_Carofiglio	Gianrico Carofiglio	en,fr,sv	
30	https://en.wikipedia.org/wiki/HSC_Cs%C3%ADkszereda	HSC Csíkszereda	en,fr,fi,sv	When was HSC Csíkszereda founded?
32	https://en.wikipedia.org/wiki/Helsingin_Jalkapalloklubi	Helsingin Jalkapalloklubi	en,fi,sv,zh,fr	What are the away colors of the Helsingin Jalkapalloklubi?
35	https://en.wikipedia.org/wiki/Irus_irus	Irus irus	en,sv,zh	
37	https://en.wikipedia.org/wiki/Kremlin_(fortification)	Kremlin (fortification)	en,fr,fi,sv,zh	Are kremlins similar to detinets?
41	https://en.wikipedia.org/wiki/Nokia_E5-00	Nokia E5-00	en,fr,fi	
44	https://en.wikipedia.org/wiki/Pennard	Pennard	en,fr,sv	
45	https://en.wikipedia.org/wiki/Pet_store	Pet store	en,fr,fi,zh	Where is the largest pet store in the world located?
46	https://en.wikipedia.org/wiki/Petra_van_Staveren	Petra van Staveren	en,fi,sv,zh,fr	What did Petra van Staveren win a gold medal for?
47	https://en.wikipedia.org/wiki/Spotted_blue-eye	Spotted blue-eye	en,fr,sv,zh	What do spotted blue-eyes eat?
50	https://en.wikipedia.org/wiki/Sustainable_city	Sustainable city	en,fr,fi,zh	What is the UN Sustainable Development Goal 11’s definition of a sustainable city?
54	https://en.wikipedia.org/wiki/Ted_Lange	Ted Lange	fr,fi	
55	https://en.wikipedia.org/wiki/Tilia_dasystyla	Tilia dasystyla	en,fr,sv	
56	https://en.wikipedia.org/wiki/United_States_Army_Medical_Command	United States Army Medical Command	en,fr,zh	
65	https://fr.wikipedia.org/wiki/(661)_Cl%C3%A9lie	(661) Clélie	fr,en,sv,zh	What is the perihelion of 661 Cloelia?
67	https://fr.wikipedia.org/wiki/268_av._J.-C.	268 av. J.-C.	fr,en,fi,sv,zh	Which Roman coin was first minted in 268 BC?
69	https://fr.wikipedia.org/wiki/Abrus	Abrus	fr,en,fi,sv,zh	Are there any members of genus Abrus native to the Americas?
77	https://fr.wikipedia.org/wiki/Bee_Train	Bee Train	fr,en,zh	
80	https://fr.wikipedia.org/wiki/Capitaine_(football)	Capitaine (football)	fr,en,zh	
92	https://fr.wikipedia.org/wiki/Domantas_Sabonis	Domantas Sabonis	fr,en,fi,sv,zh	In which country did Domantas Sabonis start his career?
94	https://fr.wikipedia.org/wiki/FEAR_(jeu_vid%C3%A9o)	FEAR (jeu vidéo)	fr,en,fi,sv,zh	Did the video game F.E.A.R. receive any awards for its use of AI?
97	https://fr.wikipedia.org/wiki/Fortescue_(Missouri)	Fortescue (Missouri)	fr,en,zh	
98	https://fr.wikipedia.org/wiki/Fredrikstad_FK	Fredrikstad FK	fr,en,fi,sv,zh	When did the Fredrikstad Fotballklubb change its home ground stadium?
99	https://fr.wikipedia.org/wiki/Gare_de_Walthamstow_Central	Gare de Walthamstow Central	fr,en,zh	
101	https://fr.wikipedia.org/wiki/Guillemot_de_Tro%C3%AFl	Guillemot de Troïl	fr,en,fi,sv,zh	
105	https://fr.wikipedia.org/wiki/Johnny_Cash	Johnny Cash	fr,en,fi,sv,zh	
106	https://fr.wikipedia.org/wiki/Khobar	Khobar	fr,en,fi,sv,zh	
108	https://fr.wikipedia.org/wiki/Liaison_m%C3%A9tallique	Liaison métallique	fr,en,fi,sv,zh	
111	https://fr.wikipedia.org/wiki/Manifestations_de_mars-avril_2022_au_P%C3%A9rou	Manifestations de mars-avril 2022 au Pérou	fr,en,zh	
112	https://fr.wikipedia.org/wiki/Manteo	Manteo	fr,en,sv,zh	
113	https://fr.wikipedia.org/wiki/Mar%C3%ADa_Grever	María Grever	fr,en,sv,zh	
115	https://fr.wikipedia.org/wiki/Moshood_Abiola	Moshood Abiola	fr,en,fi,sv	
117	https://fr.wikipedia.org/wiki/Noonie_Bao	Noonie Bao	fr,en,fi,sv	
118	https://fr.wikipedia.org/wiki/Omega_Centauri	Omega Centauri	fr,en,fi,sv,zh	
120	https://fr.wikipedia.org/wiki/Oxford_University_Association_Football_Club	Oxford University Association Football Club	fr,en,fi,sv	
121	https://fr.wikipedia.org/wiki/Oxycarenidae	Oxycarenidae	fr,en,sv,zh	
126	https://fr.wikipedia.org/wiki/Prato_allo_Stelvio	Prato allo Stelvio	fr,en,sv,zh	
127	https://fr.wikipedia.org/wiki/Quarten	Quarten	fr,en,sv,zh	
128	https://fr.wikipedia.org/wiki/Sminthuridae	Sminthuridae	fr,en,fi,sv	
129	https://fr.wikipedia.org/wiki/Sophie_N%C3%A9lisse	Sophie Nélisse	fr,en,sv	
130	https://fr.wikipedia.org/wiki/Soustons	Soustons	fr,en,sv,zh	
133	https://fr.wikipedia.org/wiki/The_Fens	The Fens	fr,en,fi	
136	https://fr.wikipedia.org/wiki/Victoire_Tomegah_Dogb%C3%A9	Victoire Tomegah Dogbé	fr,en,fi,sv	
137	https://fr.wikipedia.org/wiki/Xiong_Ai	Xiong Ai	fr,en,zh	
140	https://sv.wikipedia.org/wiki/7532_Pelh%C5%99imov	7532 Pelhřimov	sv,en,fr,zh	
141	https://sv.wikipedia.org/wiki/8437_Bernicla	8437 Bernicla	sv,en,fr,zh	
143	https://sv.wikipedia.org/wiki/A_Portuguesa	A Portuguesa	sv,en,fr,fi,zh	
144	https://sv.wikipedia.org/wiki/Alan_Rachins	Alan Rachins	sv,en,fr,fi	
145	https://sv.wikipedia.org/wiki/Alemanner	Alemanner	sv,en,fr,fi,zh	
146	https://sv.wikipedia.org/wiki/Alvignac	Alvignac	sv,en,fr,zh	
147	https://sv.wikipedia.org/wiki/Amblychaeturichthys	Amblychaeturichthys	sv,en,fr,zh	
149	https://sv.wikipedia.org/wiki/Bert_Olmstead	Bert Olmstead	sv,en,fr,fi	
151	https://sv.wikipedia.org/wiki/C%C3%B3rdobaemiratet	Córdobaemiratet	sv,en,fr,zh	
155	https://sv.wikipedia.org/wiki/Dave_Tippett	Dave Tippett	sv,en,fr,fi,zh	
159	https://sv.wikipedia.org/wiki/Emerging_Church	Emerging Church	sv,en,fr,zh	
161	https://sv.wikipedia.org/wiki/F%C3%BCzesabonyi_J%C3%A1r%C3%A1s	Füzesabonyi Járás	sv,en,fr,zh	
162	https://sv.wikipedia.org/wiki/Film_i_Frankrike	Film i Frankrike	sv,en,fr,zh	
164	https://sv.wikipedia.org/wiki/Geoffroi_de_Villehardouin	Geoffroi de Villehardouin	sv,en,fr,fi,zh	
165	https://sv.wikipedia.org/wiki/Gu_Bon-gil	Gu Bon-gil	sv,en,fr,zh	
166	https://sv.wikipedia.org/wiki/HD_123569	HD 123569	sv,en,fr,zh	
169	https://sv.wikipedia.org/wiki/Hylarana_elberti	Hylarana elberti	sv,en,fr	
174	https://sv.wikipedia.org/wiki/Lil_Dagover	Lil Dagover	sv,en,fr,fi	
176	https://sv.wikipedia.org/wiki/Ludhiana	Ludhiana	sv,en,fr,fi,zh	
179	https://sv.wikipedia.org/wiki/Middleham	Middleham	sv,en,fr,zh	
180	https://sv.wikipedia.org/wiki/Movimiento_Bolivariano_Revolucionario_200	Movimiento Bolivariano Revolucionario 200	sv,en,fr,zh	
182	https://sv.wikipedia.org/wiki/Retronym	Retronym	sv,en,fr,zh	
184	https://sv.wikipedia.org/wiki/Sauga_kommun	Sauga kommun	sv,en,fr,zh	
187	https://sv.wikipedia.org/wiki/Sydower_Flie%C3%9F	Sydower Fließ	sv,en,fr,zh	
188	https://sv.wikipedia.org/wiki/Ter%C3%A9ny	Terény	sv,en,fr,zh	
192	https://sv.wikipedia.org/wiki/Tuck_Everlasting	Tuck Everlasting	sv,en,fr	
195	https://sv.wikipedia.org/wiki/V%C3%A4rldsm%C3%A4sterskapet_i_ishockey_f%C3%B6r_herrar_1931	Världsmästerskapet i ishockey för herrar 1931	sv,en,fr,fi	
203	https://zh.wikipedia.org/wiki/%E4%BF%AE%E8%BE%9E%E5%AD%A6	修辞学	zh,en,fi,fr,en-simple,sv	
205	https://zh.wikipedia.org/wiki/%E5%85%B1%E4%BA%AB%E6%BA%90%E4%BB%A3%E7%A0%81	共享源代码	zh,en,fi,fr,sv	
206	https://zh.wikipedia.org/wiki/%E5%87%B1%E4%BC%8A%E7%88%BE%C2%B7%E7%99%BD%E6%9C%97%E5%AF%A7	凱伊爾·白朗寧	zh,en,fr,sv	
207	https://zh.wikipedia.org/wiki/%E5%87%B1%E6%92%92%E9%A6%96%E9%A0%98	凱撒首領	zh,en,fi,fr,sv	
212	https://zh.wikipedia.org/wiki/%E5%8A%89%E6%98%93%E6%96%AF%E6%95%A6_(%E5%AF%86%E8%98%87%E9%87%8C%E5%B7%9E)	劉易斯敦 (密蘇里州)	zh,en,fr	
213	https://zh.wikipedia.org/wiki/%E5%8A%9B	力	zh,en,fi,fr,sv	
215	https://zh.wikipedia.org/wiki/%E5%8B%92%E8%92%99%E6%B3%B0%E4%BC%8A	勒蒙泰伊	zh,en,fr,sv	
217	https://zh.wikipedia.org/wiki/%E5%8D%A1%E6%96%AF%E7%9A%AE%E6%96%AF%E5%85%8B	卡斯皮斯克	zh,en,fi,fr,sv	
218	https://zh.wikipedia.org/wiki/%E5%8D%A1%E8%8E%B1%E5%B0%94%E6%B2%83%C2%B7%E5%8A%B3%E5%93%88%E6%8B%89	卡莱尔沃·劳哈拉	zh,en,fi,fr	
224	https://zh.wikipedia.org/wiki/%E5%92%8C%E5%B9%B3%E5%8F%B7%E7%A9%BA%E9%97%B4%E7%AB%99	和平号空间站	zh,en,fi,fr,sv	
229	https://zh.wikipedia.org/wiki/%E5%9C%B0%E7%8B%B1_(%E5%B0%8F%E8%AF%B4)	地狱 (小说)	zh,en,fi,fr,sv	
230	https://zh.wikipedia.org/wiki/%E5%9F%83%E5%85%8B%E6%A3%AE_(%E5%BE%B7%E5%9B%BD)	埃克森 (德国)	zh,en,fr,sv	
232	https://zh.wikipedia.org/wiki/%E5%A1%94%E5%B9%B3%E5%8E%BF	塔平县	zh,en,fr,sv	
233	https://zh.wikipedia.org/wiki/%E5%A4%96%E4%BA%A4%E4%BB%A3%E8%A1%A8%E6%A9%9F%E6%A7%8B	外交代表機構	zh,en,fr,sv	
241	https://zh.wikipedia.org/wiki/%E5%B7%A7%E5%85%8B%E5%8A%9B%E7%B3%96%E6%BC%BF	巧克力糖漿	zh,en,fr,sv	
245	https://zh.wikipedia.org/wiki/%E5%BD%BC%E5%BE%97%E7%BD%97%C2%B7%E5%8D%97%E5%B0%BC	彼得罗·南尼	zh,en,fi,fr,sv	
247	https://zh.wikipedia.org/wiki/%E6%8B%89%E6%B2%99%E4%BD%A9%E5%8B%92%E5%9B%BE%E9%98%BF%E7%BD%97	拉沙佩勒图阿罗	zh,en,fr,sv	
248	https://zh.wikipedia.org/wiki/%E6%8B%9F%E9%9A%99%E8%9B%9B%E5%B1%9E	拟隙蛛属	zh,en,fr,sv	
250	https://zh.wikipedia.org/wiki/%E6%99%AE%E8%B4%B9%E4%B8%81%E6%96%AF%E8%8E%B1%E6%9C%AC	普费丁斯莱本	zh,en,fr,sv	
252	https://zh.wikipedia.org/wiki/%E6%A2%81%E5%B1%B1%E5%8E%BF	梁山县	zh,en,fr,sv	
263	https://zh.wikipedia.org/wiki/%E7%90%86%E6%9F%A5%E5%BE%B7%C2%B7%E6%B2%83%E6%81%A9%C2%B7%E6%96%AF%E5%AE%BE%E5%A1%9E	理查德·沃恩·斯宾塞	zh,en,fr	
271	https://zh.wikipedia.org/wiki/%E7%A7%91%E5%85%8B%E5%A4%A7%E5%AD%A6	科克大学	zh,en,fr,sv	
273	https://zh.wikipedia.org/wiki/%E7%B4%84%E5%A7%86%E6%96%AF%E7%B6%AD%E4%BA%AC	約姆斯維京	zh,en,fi,fr,sv	
274	https://zh.wikipedia.org/wiki/%E7%B4%84%E7%BF%B0%C2%B7%E6%96%AF%E6%96%87%E5%B0%BC	約翰·斯文尼	zh,en,fr	
275	https://zh.wikipedia.org/wiki/%E7%B4%84%E7%BF%B0%C2%B7%E8%8F%AF%E7%89%B9%E6%96%AF	約翰·華特斯	zh,en,fi,fr,sv	
280	https://zh.wikipedia.org/wiki/%E8%83%8C%E5%8F%9B%E7%9C%9F%E7%90%86%E7%9A%84%E4%BA%BA%E4%BB%AC	背叛真理的人们	zh,en,fr	
283	https://zh.wikipedia.org/wiki/%E8%8B%A5%E9%98%BF%E7%BA%B3	若阿纳	zh,en,fi,fr,sv	
288	https://zh.wikipedia.org/wiki/%E8%A7%82%E6%B5%8B%E5%AE%87%E5%AE%99%E5%AD%A6	观测宇宙学	zh,en,fi,fr	
291	https://zh.wikipedia.org/wiki/%E8%B4%A1%E7%BA%B3%E5%B0%94%C2%B7%E9%98%BF%E6%96%AF%E6%99%AE%E9%9A%86%E5%BE%B7	贡纳尔·阿斯普隆德	zh,en,fi,fr,sv	
296	https://zh.wikipedia.org/wiki/%E9%94%A1%E4%BC%8A%E6%98%82%E5%8F%A4%E8%B4%B9%E6%81%A9	锡伊昂古费恩	zh,en,fr,sv	
298	https://zh.wikipedia.org/wiki/%E9%98%BF%E5%B0%94%E5%8D%91%E6%96%AF%E5%B8%A6	阿尔卑斯带	zh,en,fr,sv	
303	https://zh.wikipedia.org/wiki/%E9%98%BF%E9%81%93%E5%A4%AB%C2%B7%E5%8A%A0%E5%85%B0%E5%BE%B7	阿道夫·加兰德	zh,en,fi,fr,sv	
307	https://zh.wikipedia.org/wiki/%E9%A9%AC%E5%B0%94%E7%BB%B4%E5%B0%94	马尔维尔	zh,en,fr,sv	
309	https://zh.wikipedia.org/wiki/%E9%B5%9D%E8%9B%8B%E5%BD%A2	鵝蛋形	zh,en,fr,sv	
313	https://zh.wikipedia.org/wiki/695%E5%B9%B4	695年	zh,en,fi,fr,sv	
