url-idx	Primary Wikipedia URL	title	URL-hi	question
23	https://en.wikipedia.org/wiki/White_Collar_(TV_series)	White Collar (TV series)	https://hi.wikipedia.org/wiki/%E0%A4%B5%E0%A5%8D%E0%A4%B9%E0%A4%BE%E0%A4%87%E0%A4%9F_%E0%A4%95%E0%A5%89%E0%A4%B2%E0%A4%B0	वाइट कॉलर टीवी शृंख्ला में मुख़्य किरदार को जेल कैद क्यों होती है ?
34	https://en.wikipedia.org/wiki/Galicia_(Spain)	Galicia (Spain)	https://hi.wikipedia.org/wiki/%E0%A4%97%E0%A4%B2%E0%A4%BF%E0%A4%B6%E0%A4%BF%E0%A4%AF%E0%A4%BE_(%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A5%87%E0%A4%A8)	गलिशिया यूरोप के किस देश का हिस्सा है ?
36	https://zh.wikipedia.org/wiki/%E5%92%8C%E5%B9%B3%E5%8F%B7%E7%A9%BA%E9%97%B4%E7%AB%99	和平号空间站	https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A5%80%E0%A4%B0	मीर अंतरिक्ष स्टेशन का प्रक्षेपण  किस देश ने किया है ?
37	https://zh.wikipedia.org/wiki/%E6%88%B4%E5%A4%AB%C2%B7%E5%BC%97%E8%98%AD%E7%A7%91	戴夫·弗蘭科	https://hi.wikipedia.org/wiki/%E0%A4%A1%E0%A5%87%E0%A4%B5_%E0%A4%AB%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%82%E0%A4%95%E0%A5%8B	डवे फ्रेंको अपने जीवनसाथी से मिलने के कितने समय बाद विवाह किया ?
56	https://zh.wikipedia.org/wiki/%E5%8A%9B	力	https://hi.wikipedia.org/wiki/%E0%A4%AC%E0%A4%B2_(%E0%A4%AD%E0%A5%8C%E0%A4%A4%E0%A4%BF%E0%A4%95%E0%A5%80)	गुरुत्वाकर्षण न्यूटन के किस गति के नियम पर आधारित है ?
63	https://sv.wikipedia.org/wiki/F%C3%B6rlossning	Förlossning	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8_%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A4%B5	सामान्य मानव जन्म में पूरे कितने चरण होते है ?
76	https://en.wikipedia.org/wiki/Antenna_(biology)	Antenna (biology)	https://hi.wikipedia.org/wiki/%E0%A4%B6%E0%A5%83%E0%A4%82%E0%A4%97%E0%A4%BF%E0%A4%95%E0%A4%BE	शृंगिका का उपयोग किन किन कार्यो के लिए होता है ?
79	https://sv.wikipedia.org/wiki/Ludhiana	Ludhiana	https://hi.wikipedia.org/wiki/%E0%A4%B2%E0%A5%81%E0%A4%A7%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%A8%E0%A4%BE	लुधियाना में कौन कौन रूचि के स्थल है ?
82	https://zh.wikipedia.org/wiki/%E8%85%A6%E6%80%A7%E9%BA%BB%E7%97%BA	腦性麻痺	https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%B7%E0%A5%8D%E0%A4%95_%E0%A4%85%E0%A4%82%E0%A4%97%E0%A4%98%E0%A4%BE%E0%A4%A4	प्रमस्तिष्क अंगघात बीमारी को पहली बार किस चिकित्सक और कब पता लगाया था ?
85	https://fr.wikipedia.org/wiki/Khobar	Khobar	https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%B2-%E0%A4%96%E0%A5%8B%E0%A4%AC%E0%A4%B0	अल-खोबर में कौन सी भारतीय संस्था स्थित है?
103	https://en.wikipedia.org/wiki/Kremlin_(fortification)	Kremlin (fortification)	https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%AE%E0%A4%B2%E0%A4%BF%E0%A4%A8	मास्को स्थित दुर्ग किस रंग के ईटो से बनाई गयी दीवारों से घिरा हुआ है?
111	https://fr.wikipedia.org/wiki/Diab%C3%A8te_de_type_2	Diabète de type 2	https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A4%A7%E0%A5%81%E0%A4%AE%E0%A5%87%E0%A4%B9_%E0%A4%9F%E0%A4%BE%E0%A4%87%E0%A4%AA_2	आईसीडी १० E ११ का मुख्य कारण क्या है ?
114	https://zh.wikipedia.org/wiki/%E6%B3%A2%E8%A5%BF%E7%B8%A3_(%E5%8D%B0%E7%AC%AC%E5%AE%89%E7%B4%8D%E5%B7%9E)	波西縣 (印第安納州)	https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A5%8B%E0%A4%B8%E0%A5%80_%E0%A4%95%E0%A4%BE%E0%A4%89%E0%A4%82%E0%A4%9F%E0%A5%80,_%E0%A4%87%E0%A4%82%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%A8%E0%A4%BE	पोसी काउंटी किस स्टेट में स्थित है?
120	https://zh.wikipedia.org/wiki/695%E5%B9%B4	695年	https://hi.wikipedia.org/wiki/695	695 किस कैलेंडर का वर्ष है?
142	https://zh.wikipedia.org/wiki/Windows_Neptune	Windows Neptune	https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A4%BE%E0%A4%87%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%8B%E0%A4%B8%E0%A5%89%E0%A4%AB%E0%A5%8D%E0%A4%9F_%E0%A4%A8%E0%A5%87%E0%A4%AA%E0%A4%9A%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A8	माइक्रोसॉफ्ट नेपच्यून किस वर्ष में कार्यकारी स्थिति किया गया था ?
165	https://en.wikipedia.org/wiki/Bruce_Sterling	Bruce Sterling	https://hi.wikipedia.org/wiki/%E0%A4%AC%E0%A5%8D%E0%A4%B0%E0%A5%82%E0%A4%B8_%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A4%B0%E0%A5%8D%E0%A4%B2%E0%A4%BF%E0%A4%82%E0%A4%97	ब्रूस स्टर्लिंग का जन्म किस देश में हुआ था ?
172	https://fr.wikipedia.org/wiki/Johnny_Cash	Johnny Cash	https://hi.wikipedia.org/wiki/%E0%A4%9C%E0%A5%89%E0%A4%A8%E0%A5%80_%E0%A4%95%E0%A5%88%E0%A4%B6	जॉनी कैश की मृत्यु किस वजह से हुई थी ?
177	https://en.wikipedia.org/wiki/Takara	Takara	https://hi.wikipedia.org/wiki/%E0%A4%9F%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A4%BE	टकारा कंपनी लिमिटेड का आधिकारिक समापन क्यों हुआ ?
179	https://fr.wikipedia.org/wiki/14_octobre	14 octobre	https://hi.wikipedia.org/wiki/%E0%A5%A7%E0%A5%AA_%E0%A4%85%E0%A4%95%E0%A5%8D%E0%A4%9F%E0%A5%82%E0%A4%AC%E0%A4%B0	रजिया सुल्तान का निधन कब हुआ था ?
211	https://zh.wikipedia.org/wiki/%E5%A4%96%E4%BA%A4%E4%BB%A3%E8%A1%A8%E6%A9%9F%E6%A7%8B	外交代表機構	https://hi.wikipedia.org/wiki/%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A4%A8%E0%A4%AF%E0%A4%BF%E0%A4%95_%E0%A4%AE%E0%A4%BF%E0%A4%B6%E0%A4%A8	 वियाना कन्वेन्शन किस तारीख को प्रभावित  हुआ था ?
254	https://sv.wikipedia.org/wiki/C%C3%B3rdobaemiratet	Córdobaemiratet	https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%A1%E0%A5%8B%E0%A4%AC%E0%A4%BE_%E0%A4%96%E0%A4%BF%E0%A4%B2%E0%A4%BE%E0%A4%AB%E0%A4%A4	कोर्डोबा खिलाफत को किस वंश ने राज किया था ?
273	https://zh.wikipedia.org/wiki/%E5%8D%A1%E9%BD%90%E7%BA%B3%E5%B7%9E	卡齐纳州	https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B8%E0%A4%BF%E0%A4%A8%E0%A4%BE_%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%8D%E0%A4%AF	कात्सिना राज्य में पुरे कितने उपविभाग है?
279	https://zh.wikipedia.org/wiki/%E4%B8%96%E7%95%8C%E5%9B%BD%E9%99%85%E8%B1%A1%E6%A3%8B%E8%81%94%E5%90%88%E4%BC%9A	世界国际象棋联合会	https://hi.wikipedia.org/wiki/%E0%A4%AB%E0%A4%BE%E0%A4%87%E0%A4%A1	अंतर्राष्ट्रीय शतरंज संघ की स्थापना कितने वर्ष पूर्व हुई थी?
283	https://fr.wikipedia.org/wiki/Liaison_m%C3%A9tallique	Liaison métallique	https://hi.wikipedia.org/wiki/%E0%A4%A7%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B5%E0%A4%BF%E0%A4%95_%E0%A4%AC%E0%A4%A8%E0%A5%8D%E0%A4%A7%E0%A4%A8	धात्विक बन्धन आबंध धातुवों के किस तरह के  भौतिक गुणधर्मों का कारण होता है ?
308	https://zh.wikipedia.org/wiki/%E4%BF%AE%E8%BE%9E%E5%AD%A6	修辞学	https://hi.wikipedia.org/wiki/%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%96%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%A8_%E0%A4%B6%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0	प्राचीन यूनानी दार्शनिक अरस्तु के अनुसार व्याख्यान शास्त्र में श्रोताओं को प्रभावित करने के तीन तत्व कौन  कौन से थे ?
311	https://zh.wikipedia.org/wiki/%E5%90%89%E5%88%97%E4%BD%93%E8%82%B2%E5%9C%BA	吉列体育场	https://hi.wikipedia.org/wiki/%E0%A4%9C%E0%A4%BF%E0%A4%B2%E0%A5%87%E0%A4%9F_%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%87%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%AE	जिलेट स्टेडियम में कितने दर्शको की क्षमता है ?
342	https://sv.wikipedia.org/wiki/Daler_Mehndi	Daler Mehndi	https://hi.wikipedia.org/wiki/%E0%A4%A6%E0%A4%B2%E0%A5%87%E0%A4%B0_%E0%A4%AE%E0%A5%87%E0%A4%82%E0%A4%B9%E0%A4%A6%E0%A5%80	दलेर मेंहदी पर कानूनी कारवाही किस वजह से हुई थी ?
361	https://zh.wikipedia.org/wiki/%E5%B8%9D%E5%9B%BD	帝国	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A4%BE%E0%A4%AE%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%8D%E0%A4%AF	भारत के  सबसे बडा साम्राज्य की सीमा का कितना छेत्र था ?
384	https://sv.wikipedia.org/wiki/Sagar	Sagar	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A4%BE%E0%A4%97%E0%A4%B0,_%E0%A4%AE%E0%A4%A7%E0%A5%8D%E0%A4%AF_%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%A6%E0%A5%87%E0%A4%B6	मध्यप्रदेश का पहला विश्वविद्यालय कब स्थापित हुआ था  ?
397	https://sv.wikipedia.org/wiki/Farrukhabad	Farrukhabad	https://en.wikipedia.org/wiki/Farrukhabad_district	फ़र्रूख़ाबाद जिला कौन  से प्रसिद्ध कवित्री के लिए जाना जाता है ?
411	https://sv.wikipedia.org/wiki/Den_nikomachiska_etiken	Den nikomachiska etiken	https://hi.wikipedia.org/wiki/%E0%A4%A8%E0%A4%BF%E0%A4%95%E0%A5%8B%E0%A4%AE%E0%A5%87%E0%A4%95%E0%A4%BF%E0%A4%AF%E0%A4%A8_%E0%A4%A8%E0%A5%80%E0%A4%A4%E0%A4%BF%E0%A4%B6%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0	निकोमेकियन नीतिशास्त्र में कितने उपखण्ड शामिल है ?
414	https://zh.wikipedia.org/wiki/%E5%90%90%E9%B2%81%E7%95%AA%E5%B8%82	吐鲁番市	https://hi.wikipedia.org/wiki/%E0%A4%A4%E0%A5%81%E0%A4%B0%E0%A4%AB%E0%A4%BC%E0%A4%BE%E0%A4%A8	तुरफ़ान की  एमीन मीनार की ऊचाई कितनी है ?
441	https://zh.wikipedia.org/wiki/%E8%82%BA%E7%A7%BB%E6%A4%8D	肺移植	https://hi.wikipedia.org/wiki/%E0%A4%AB%E0%A5%87%E0%A4%AB%E0%A4%A1%E0%A4%BC%E0%A5%87_%E0%A4%95%E0%A4%BE_%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%A4%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B0%E0%A5%8B%E0%A4%AA%E0%A4%A3	फेफड़े से जुड़ी पहली सफल प्रत्यारोपण सर्जरी किस डॉक्टर द्वारा और कब की गयी थी  ?
450	https://fr.wikipedia.org/wiki/Fraction_unitaire	Fraction unitaire	https://hi.wikipedia.org/wiki/%E0%A4%8F%E0%A4%95%E0%A4%95_%E0%A4%AD%E0%A4%97%E0%A5%8D%E0%A4%A8%E0%A4%BE%E0%A4%82%E0%A4%95	कौन से अंकगणितीय संक्रियाएँ एकक भग्नांक को संरक्षित रखती है ?
454	https://en.wikipedia.org/wiki/Irrawaddy_River	Irrawaddy River	https://hi.wikipedia.org/wiki/%E0%A4%87%E0%A4%B0%E0%A4%BE%E0%A4%B5%E0%A4%A4%E0%A5%80_%E0%A4%A8%E0%A4%A6%E0%A5%80 	इरावती नदी का नाम किस हिन्दू देवी के पुत्र के नाम से जुड़ा हुआ है ?
466	https://zh.wikipedia.org/wiki/%E5%8D%9A%E7%88%BE%E9%A6%AC%E9%87%8C%E7%83%8F%E5%B8%95%E9%BD%8A%E6%8B%89	博爾馬里烏帕齊拉	https://hi.wikipedia.org/wiki/%E0%A4%AC%E0%A5%8B%E0%A4%AF%E0%A4%BC%E0%A4%BE%E0%A4%B2%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%80_%E0%A4%89%E0%A4%AA%E0%A4%9C%E0%A4%BC%E0%A4%BF%E0%A4%B2%E0%A4%BE	बोय़ालमारी उपज़िला में इस्लाम के अनुयाई आबादी औसतन कितने प्रतिशत है ?
471	https://zh.wikipedia.org/wiki/%E6%95%98%E5%88%A9%E4%BA%9E%E5%9F%BA%E7%9D%A3%E6%95%99	敘利亞基督教	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A5%80%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%88_%E0%A4%88%E0%A4%B8%E0%A4%BE%E0%A4%88	सीरियाई ईसाई द्वारा प्रयोग की गयी भाषा किस भाषा की उपभाषा है ?
491	https://fr.wikipedia.org/wiki/Cirrostratus	Cirrostratus	https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BE%E0%A4%AD_%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A5%80_%E0%A4%AC%E0%A4%BE%E0%A4%A6%E0%A4%B2	पक्षाभ स्तरी  आमतौर पर कितने ऊचाई पर स्थित होता है ?
497	https://zh.wikipedia.org/wiki/%E5%88%86%E5%AD%90%E7%94%9F%E7%89%A9%E5%AD%A6	分子生物学	https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%A3%E0%A5%81%E0%A4%9C%E0%A5%88%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A5%80	अणुजैविकी शब्द का गढन किस वैज्ञानिक ने किया था ?
500	https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A5%80%E0%A4%A8%E0%A4%BE%E0%A4%AC	मीनाब	https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A5%80%E0%A4%A8%E0%A4%BE%E0%A4%AC	मीनाब शहर कौन से प्रान्त में आता है ?
501	https://ar.wikipedia.org/wiki/%D8%AA%D8%A7%D8%A8%D9%88_%D8%A5%D9%8A%D9%85%D8%A8%D9%8A%D9%83%D9%8A	تابو إيمبيكي	https://hi.wikipedia.org/wiki/%E0%A4%A5%E0%A4%BE%E0%A4%AC%E0%A5%8B_%E0%A4%AE%E0%A5%8D%E0%A4%B5%E0%A5%82%E0%A4%AF%E0%A5%87%E0%A4%B2%E0%A4%B5%E0%A4%BE_%E0%A4%AE%E0%A5%8D%E0%A4%AC%E0%A5%87%E0%A4%95%E0%A5%80	दक्षिण अफ़्रीका के दूसरे राष्ट्रपति कौन है  ?
503	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A5%88%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A5%87%E0%A4%82%E0%A4%9F%E0%A5%8B_%E0%A4%95%E0%A4%BF%E0%A4%82%E0%A4%97%E0%A5%8D%E0%A4%B8	सैक्रामेंटो किंग्स	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A5%88%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A5%87%E0%A4%82%E0%A4%9F%E0%A5%8B_%E0%A4%95%E0%A4%BF%E0%A4%82%E0%A4%97%E0%A5%8D%E0%A4%B8	सैक्रामेंटो किंग्स के मालिक कौन है ?
506	https://hi.wikipedia.org/wiki/%E0%A4%B2%E0%A4%BE_%E0%A4%B2%E0%A5%8D%E0%A4%B2%E0%A5%8B%E0%A4%B0%E0%A5%8B%E0%A4%A8%E0%A4%BE	ला ल्लोरोना	https://hi.wikipedia.org/wiki/%E0%A4%B2%E0%A4%BE_%E0%A4%B2%E0%A5%8D%E0%A4%B2%E0%A5%8B%E0%A4%B0%E0%A5%8B%E0%A4%A8%E0%A4%BE	ला ल्लोरोना की कथा किन देशो में प्रसिद्ध  है ?
508	https://hi.wikipedia.org/wiki/%E0%A4%AF%E0%A5%82%E0%A4%88%E0%A4%8F%E0%A4%AB%E0%A4%8F_%E0%A4%AF%E0%A5%82%E0%A4%B0%E0%A5%8B%E0%A4%AA%E0%A4%BE_%E0%A4%B2%E0%A5%80%E0%A4%97	यूईएफए यूरोपा लीग	https://hi.wikipedia.org/wiki/%E0%A4%AF%E0%A5%82%E0%A4%88%E0%A4%8F%E0%A4%AB%E0%A4%8F_%E0%A4%AF%E0%A5%82%E0%A4%B0%E0%A5%8B%E0%A4%AA%E0%A4%BE_%E0%A4%B2%E0%A5%80%E0%A4%97	यूईएफए यूरोपा लीग में आज तक की सबसे सफल क्लब ने कितनी बार खिताब जीता है ?
510	https://fr.wikipedia.org/wiki/Radar_%C3%A0_synth%C3%A8se_d%27ouverture	Radar à synthèse d'ouverture	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A4%BF%E0%A4%82%E0%A4%A5%E0%A5%87%E0%A4%9F%E0%A4%BF%E0%A4%95_%E0%A4%8F%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%9A%E0%A4%B0_%E0%A4%B0%E0%A4%A1%E0%A4%BE%E0%A4%B0_(%E0%A4%8F%E0%A4%B8%E0%A4%8F%E0%A4%86%E0%A4%B0)	चीन ने २०१६ में कौन सा  उपग्रह लांच किया है?
514	https://hi.wikipedia.org/wiki/%E0%A4%AF%E0%A5%8B%E0%A4%B9%E0%A4%BE%E0%A4%A8_%E0%A4%B8%E0%A5%87%E0%A4%AC%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%AF%E0%A4%A8_%E0%A4%AC%E0%A4%BE%E0%A4%96%E0%A4%BC	योहान सेबास्तियन बाख़	https://hi.wikipedia.org/wiki/%E0%A4%AF%E0%A5%8B%E0%A4%B9%E0%A4%BE%E0%A4%A8_%E0%A4%B8%E0%A5%87%E0%A4%AC%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%AF%E0%A4%A8_%E0%A4%AC%E0%A4%BE%E0%A4%96%E0%A4%BC	जर्मन संगीतकार बाख के निधन के समय उनकी उम्र क्या थी ?
516	https://hi.wikipedia.org/wiki/%E0%A4%A6%E0%A5%80_%E0%A4%8F%E0%A4%9C_%E0%A4%91%E0%A4%AB%E0%A4%BC_%E0%A4%B0%E0%A5%80%E0%A4%9C%E0%A4%BC%E0%A4%A8	दी एज ऑफ़ रीज़न	https://hi.wikipedia.org/wiki/%E0%A4%A6%E0%A5%80_%E0%A4%8F%E0%A4%9C_%E0%A4%91%E0%A4%AB%E0%A4%BC_%E0%A4%B0%E0%A5%80%E0%A4%9C%E0%A4%BC%E0%A4%A8	दी एज ऑफ़ रीज़न किताब का दूसरा भाग कब प्रकाशित हुआ था ?
521	https://hi.wikipedia.org/wiki/%E0%A4%9A%E0%A5%87%E0%A4%82%E0%A4%97%E0%A4%A6%E0%A5%82	चेंगदू	https://hi.wikipedia.org/wiki/%E0%A4%9A%E0%A5%87%E0%A4%82%E0%A4%97%E0%A4%A6%E0%A5%82	चेंगदू शहर पर चीन ने कब कब्ज़ा किया था ?
522	https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A4%A4%E0%A4%BE%E0%A4%A7%E0%A4%BF%E0%A4%95%E0%A4%BE%E0%A4%B0	मताधिकार	https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A4%A4%E0%A4%BE%E0%A4%A7%E0%A4%BF%E0%A4%95%E0%A4%BE%E0%A4%B0	भारतीय संविधान में कौन सा अनुछेद  वयस्क मताधिकार को परिभाषित करती है ?
523	https://ar.wikipedia.org/wiki/%D8%B9%D9%85%D8%B1%D8%A7%D9%86_%D8%AE%D8%A7%D9%86	عمران خان	https://hi.wikipedia.org/wiki/%E0%A4%87%E0%A4%AE%E0%A4%B0%E0%A4%BE%E0%A4%A8_%E0%A4%96%E0%A4%BC%E0%A4%BE%E0%A4%A8	इमरान ख़ान ने पाकिस्तान क्रिकेट टीम के लिए कितने वर्ष खेला है ?
