url-idx	Primary Wikipedia URL	title	URL-es	question
5	https://en.wikipedia.org/wiki/Cilleruelo_de_San_Mam%C3%A9s	Cilleruelo de San Mamés	https://es.wikipedia.org/wiki/Cilleruelo_de_San_Mamés	¿Dónde está ubicado Cilleruelo de San Mamés?
8	https://en.wikipedia.org/wiki/Gampel-Bratsch	Gampel-Bratsch	https://es.wikipedia.org/wiki/Gampel-Bratsch	¿Cuándo fue creada la comuna suiza Gampel-Bratsch?
11	https://en.wikipedia.org/wiki/White-winged_chough	White-winged chough	https://es.wikipedia.org/wiki/Corcorax_melanorhamphos	¿Cuál es el único continente en el que habitan los corvinos negros (Corcorax melanorhamphos)?
12	https://en.wikipedia.org/wiki/Input%E2%80%93output_memory_management_unit	Input–output memory management unit	https://es.wikipedia.org/wiki/Unidad_de_gestión_de_memoria_de_entrada/salida	¿Qué significa la abreviatura IOMMU?
13	https://en.wikipedia.org/wiki/1997%E2%80%9398_Asian_Club_Championship	1997–98 Asian Club Championship	https://es.wikipedia.org/wiki/Copa_de_Clubes_de_Asia_1997-98	¿Quién ganó la Copa de Clubes de Asia 1997-98?
14	https://en.wikipedia.org/wiki/FC_Zhenis	FC Zhenis	https://es.wikipedia.org/wiki/FC_Zhenis	¿Cuál es el nombre anterior del actual club de football FC Zhenis?
17	https://en.wikipedia.org/wiki/Petra_van_Staveren	Petra van Staveren	https://es.wikipedia.org/wiki/Petra_van_Staveren	¿Por qué es conocida la neerlandesa Petra van Staveren?
20	https://en.wikipedia.org/wiki/Carl_L%C3%B6wenhielm	Carl Löwenhielm	https://es.wikipedia.org/wiki/Carl_Axel_Löwenhielm	¿En qué siglos vivió el conde sueco Carl Löwenheim?
21	https://en.wikipedia.org/wiki/H%C3%BCffelsheim	Hüffelsheim	https://es.wikipedia.org/wiki/Hüffelsheim	¿El municipio Hüffelsheim, está ubicado en el este o el oeste de Alemania?
23	https://en.wikipedia.org/wiki/Western_oriole	Western oriole	https://es.wikipedia.org/wiki/Oriolus_brachyrhynchus	¿En qué continente habita la oropéndola cabecinegra (Oriolus brachyrynchus)?
24	https://en.wikipedia.org/wiki/White_Collar_(TV_series)	White Collar (TV series)	https://es.wikipedia.org/wiki/White_Collar	¿Cuántas temporadas tiene la serie de televisión estadounidense White Collar?
26	https://en.wikipedia.org/wiki/Ted_Lange	Ted Lange	https://es.wikipedia.org/wiki/Ted_Lange	¿Cuál es la profesión de Ted Lange?
27	https://en.wikipedia.org/wiki/Chris_Claremont	Chris Claremont	https://es.wikipedia.org/wiki/Chris_Claremont	¿Qué serie de historietas popularizó el guionista Chris Claremont?
29	https://en.wikipedia.org/wiki/Gianrico_Carofiglio	Gianrico Carofiglio	https://es.wikipedia.org/wiki/Gianrico_Carofiglio	¿Quién escribó la novela italiana "Il passato è una terra straniera" cuyo título en espanol es "El pasado es un país extranjero"?
30	https://en.wikipedia.org/wiki/Bischofsheim,_Hesse	Bischofsheim, Hesse	https://es.wikipedia.org/wiki/Bischofsheim	¿Qué río pasa cerca de Bischofsheim, Hesse ubicado en Alemania?
31	https://en.wikipedia.org/wiki/Hamilton_Academical_F.C.	Hamilton Academical F.C.	https://es.wikipedia.org/wiki/Hamilton_Academical_Football_Club	¿Cuántas veces ha participado el equipo escocés de football Hamilton Academical Football Club en el torneo Scottish Challenge Cup?
32	https://en.wikipedia.org/wiki/Ghislain_Konan	Ghislain Konan	https://es.wikipedia.org/wiki/Ghislain_Konan	¿Cuál es el único club africano en el que Ghislain Konan ha jugado profesionalmente?
33	https://en.wikipedia.org/wiki/Swedish_Navy	Swedish Navy	https://es.wikipedia.org/wiki/Armada_de_Suecia	¿Qué rey sueco inició la armada de Suecia?
35	https://en.wikipedia.org/wiki/Galicia_(Spain)	Galicia (Spain)	https://es.wikipedia.org/wiki/Galicia	¿Cuál es la capital de la comunidad autónoma de Galicia?
37	https://zh.wikipedia.org/wiki/%E5%92%8C%E5%B9%B3%E5%8F%B7%E7%A9%BA%E9%97%B4%E7%AB%99	和平号空间站	https://es.wikipedia.org/wiki/Mir_(estación_espacial)	¿Cuál fue la última estación espacial soviética?
38	https://zh.wikipedia.org/wiki/%E6%88%B4%E5%A4%AB%C2%B7%E5%BC%97%E8%98%AD%E7%A7%91	戴夫·弗蘭科	https://es.wikipedia.org/wiki/Dave_Franco	¿Cuántos premios ha ganado Dave Franco por actuaciones en su carrera como actor?
39	https://zh.wikipedia.org/wiki/%E5%88%B6%E8%A3%81%E8%80%85_(%E9%9B%BB%E8%A6%96%E5%8A%87)	制裁者 (電視劇)	https://es.wikipedia.org/wiki/The_Punisher_(serie_de_televisión)	¿En que plataforma se lanzó la serie de televisión The Punisher?
41	https://zh.wikipedia.org/wiki/%E7%B4%85%E7%89%9B%E9%AB%94%E8%82%B2%E5%A0%B4_(%E8%96%A9%E7%88%BE%E6%96%AF%E5%A0%A1)	紅牛體育場 (薩爾斯堡)	https://es.wikipedia.org/wiki/Red_Bull_Arena_(Salzburgo)	¿Cuál es el nombre del equipo de fútbol que juega en el Red Bull Arena en Salzburgo?
42	https://sv.wikipedia.org/wiki/Captain_Morgan	Captain Morgan	https://es.wikipedia.org/wiki/Captain_Morgan	¿Qué tipo de bebida es el Capitan Morgan?
43	https://zh.wikipedia.org/wiki/%E8%93%AC%E4%BD%90%E5%86%85	蓬佐内	https://es.wikipedia.org/wiki/Ponzone	¿En qué país se encuentra la localidad de Ponzone?
44	https://fr.wikipedia.org/wiki/%C3%89tude_cas-t%C3%A9moins	Étude cas-témoins	https://es.wikipedia.org/wiki/Estudio_de_casos_y_controles	¿Para qué se usa un estudio de casos y controles en epidemiología?
45	https://fr.wikipedia.org/wiki/Championnats_du_monde_de_biathlon_1991	Championnats du monde de biathlon 1991	https://es.wikipedia.org/wiki/Campeonato_Mundial_de_Biatlón_de_1991	¿ Cuántas medallas de oro obtuvo Alemania en el campeonato mundial de biatlón de 1991?
46	https://sv.wikipedia.org/wiki/Edu_Manga	Edu Manga	https://es.wikipedia.org/wiki/Edú_Manga	¿Practicar qué deporte le hizo famoso al brasileño Edú Manga?
47	https://zh.wikipedia.org/wiki/%E5%8D%A2%E6%A0%BC%E6%9D%9C%E5%8A%AA%E5%A7%86	卢格杜努姆	https://es.wikipedia.org/wiki/Lugdunum	¿En que país actual estuvo ubicada la ciudad romana de Lugdunum?
49	https://sv.wikipedia.org/wiki/A_Portuguesa	A Portuguesa	https://es.wikipedia.org/wiki/A_Portuguesa	¿Quién escribió la letra del himno nacional de portugal, A Portuguesa?
50	https://sv.wikipedia.org/wiki/Bleeding_Kansas	Bleeding Kansas	https://es.wikipedia.org/wiki/Bleeding_Kansas	¿Cómo se le conoce al evento predecesor de la guerra de secesión o guerra civil estadounidense que ocurrió en Kansas?
51	https://fr.wikipedia.org/wiki/Manifestations_de_mars-avril_2022_au_P%C3%A9rou	Manifestations de mars-avril 2022 au Pérou	https://es.wikipedia.org/wiki/Protestas_en_Perú_de_marzo-abril_de_2022	¿Qué relación tienen las protestas en Perú ocurridas a inicios de 2022 con la pandemia del covid-19?
52	https://zh.wikipedia.org/wiki/%E9%A5%B6%E8%88%8C%E8%80%85%E9%92%B1%E6%96%AF	饶舌者钱斯	https://es.wikipedia.org/wiki/Chance_the_Rapper	¿Cuál es el nombre real del rapero conocido como Chance the Rapper?
53	https://en.wikipedia.org/wiki/Sustainable_city	Sustainable city	https://es.wikipedia.org/wiki/Ecociudad	¿Cuál es una característica principal de una ciudad sostenible?
54	https://sv.wikipedia.org/wiki/Zhejiangk%C3%B6ket	Zhejiangköket	https://es.wikipedia.org/wiki/Gastronom%C3%ADa_de_Zhejiang	¿Qué provincia de China al sur de Shanghai es famosa por su cocina ?
55	https://zh.wikipedia.org/wiki/%E7%93%A6%E7%88%BE%E9%87%8C%E7%A7%91_(%E4%BD%9B%E7%BE%85%E9%87%8C%E9%81%94%E5%B7%9E)	瓦爾里科 (佛羅里達州)	https://es.wikipedia.org/wiki/Valrico_(Florida)	¿En dónde está ubicado Valrico?
56	https://zh.wikipedia.org/wiki/%E4%B8%8B%E5%A1%94%E5%90%89%E5%B0%94	下塔吉尔	https://es.wikipedia.org/wiki/Nizhni_Taguil	¿En qué cadena montañosa esta localizada la ciudad de Nizhni Taguil?
57	https://zh.wikipedia.org/wiki/%E5%8A%9B	力	https://es.wikipedia.org/wiki/Fuerza	¿Cuáles son las cuatro furzas fundamentales según la física de partículas?
60	https://zh.wikipedia.org/wiki/%E8%96%A9%E8%BF%A6%E6%B3%95%E7%8E%8B	薩迦法王	https://es.wikipedia.org/wiki/Sakya_Trizin	¿ Quién es el actual Sakya Trizin?
61	https://fr.wikipedia.org/wiki/General_Pinedo	General Pinedo	https://es.wikipedia.org/wiki/General_Pinedo	¿En qué provincia de Argentina se encuentra la ciudad de General Pinedo?
62	https://sv.wikipedia.org/wiki/Toru%C5%84	Toruń	https://es.wikipedia.org/wiki/Torún	¿En qué país se encuentra la ciudad de Toruń?
63	https://en.wikipedia.org/wiki/Gregory_III_Laham	Gregory III Laham	https://es.wikipedia.org/wiki/Gregorio_III_Laham	¿Cuál es la denominación religiosa de Gregorio III Laham?
64	https://sv.wikipedia.org/wiki/F%C3%B6rlossning	Förlossning	https://es.wikipedia.org/wiki/Parto	Describe la fase de dilatación en el proceso del parto humano.
65	https://zh.wikipedia.org/wiki/%E5%B7%A7%E5%85%8B%E5%8A%9B%E7%B3%96%E6%BC%BF	巧克力糖漿	https://es.wikipedia.org/wiki/Sirope_de_chocolate	¿Cuál es el ingrediente principal del jarabe o sirope de chocolate?
66	https://fr.wikipedia.org/wiki/Jef_Raskin	Jef Raskin	https://es.wikipedia.org/wiki/Jef_Raskin	¿Cuál es el  proyecto es más conocido de Jef Raskin en Apple?
67	https://fr.wikipedia.org/wiki/Delley-Portalban	Delley-Portalban	https://es.wikipedia.org/wiki/Delley-Portalban	¿En qué cantón suizo se encuentra la comuna de Delley-Portalban?
68	https://zh.wikipedia.org/wiki/%E5%8A%89%E6%98%93%E6%96%AF%E6%95%A6_(%E5%AF%86%E8%98%87%E9%87%8C%E5%B7%9E)	劉易斯敦 (密蘇里州)	https://es.wikipedia.org/wiki/Lewistown_(Misuri)	¿En qué estado de Estados Unidos se encuentra Lewistown?
77	https://en.wikipedia.org/wiki/Antenna_(biology)	Antenna (biology)	https://es.wikipedia.org/wiki/Antena_(artrópodos)	¿Qué funciones desempeñan las antenas en los artrópodos?
79	https://zh.wikipedia.org/wiki/%E7%99%BD%E7%B2%89%E8%8F%8C%E7%9B%AE	白粉菌目	https://es.wikipedia.org/wiki/Erysiphales	¿A qué seres vivos afectan los hongos de la orden Erysiphales?
80	https://sv.wikipedia.org/wiki/Ludhiana	Ludhiana	https://es.wikipedia.org/wiki/Ludhiāna	¿En qué estado de la India se encuentra la ciudad de Ludhiana?
81	https://sv.wikipedia.org/wiki/Bert_Olmstead	Bert Olmstead	https://es.wikipedia.org/wiki/Bert_Olmstead	¿En qué equipos de la NHL jugó Bert Olmstead durante su carrera?
82	https://fr.wikipedia.org/wiki/Fortescue_(Missouri)	Fortescue (Missouri)	https://es.wikipedia.org/wiki/Fortescue_(Misuri)	¿Cuántos habitantes tiene Forstescue, Misuri?
83	https://zh.wikipedia.org/wiki/%E8%85%A6%E6%80%A7%E9%BA%BB%E7%97%BA	腦性麻痺	https://es.wikipedia.org/wiki/Parálisis_cerebral	¿Qué caracteristicas presenta una parálisis cerebral?
84	https://zh.wikipedia.org/wiki/%E9%93%B2%E9%BD%BF%E4%B8%AD%E5%96%99%E9%B2%B8	铲齿中喙鲸	https://es.wikipedia.org/wiki/Mesoplodon_traversii	¿En dónde se han encontrado restos de la ballena picuda de Bahamonde o Mesoplodon traversii?
86	https://fr.wikipedia.org/wiki/Khobar	Khobar	https://es.wikipedia.org/wiki/Al_Kobhar	¿Cuál es el país más cercano a la ciudad Saudi de Al Kobhar?
87	https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Supporting_Role	BAFTA Award for Best Actor in a Supporting Role	https://es.wikipedia.org/wiki/Anexo:BAFTA_al_mejor_actor_de_reparto	¿Quién ganó el premio BAFTA al mejor actor de reparto en el año 2000 y por qué película?
88	https://fr.wikipedia.org/wiki/Deuxi%C3%A8me_concile_de_Nic%C3%A9e	Deuxième concile de Nicée	https://es.wikipedia.org/wiki/Concilio_de_Nicea_II	¿Cuántas medidas disciplinares se aprobaron en el segundo consejo de Nicea celebrado en el año 787?
89	https://en.wikipedia.org/wiki/Mario_Bolatti	Mario Bolatti	https://es.wikipedia.org/wiki/Mario_Bolatti	¿En cuántas copas del mundo ha jugado el futbolista Mario Bolatti?
92	https://zh.wikipedia.org/wiki/%E5%A5%A7%E5%BA%AB%E6%96%AF%E6%89%98%E9%9B%85%E6%96%AF%E5%B1%B1	奧庫斯托雅斯山	https://es.wikipedia.org/wiki/Colina_Aukštojas	¿Cómo se llama la segunda colina más alta de Lituania?
93	https://zh.wikipedia.org/wiki/%E7%A7%91%E5%B0%94%E5%AF%9F%E8%87%AA%E6%B2%BB%E7%9C%81	科尔察自治省	https://es.wikipedia.org/wiki/Provincia_Autónoma_de_Korçë	¿En qué años existió la provincia autónoma de Korçë, ubicada en la actual Albania?
95	https://fr.wikipedia.org/wiki/Sophie_N%C3%A9lisse	Sophie Nélisse	https://es.wikipedia.org/wiki/Sophie_Nélisse	¿En qué película interpretó Sophie Nélisse el papel de Liesel Meminger?
96	https://en.wikipedia.org/wiki/Wheein	Wheein	https://es.wikipedia.org/wiki/Wheein	¿Cómo se llama la vocalista del grupo surcoreano femenino Mamamoo?
98	https://fr.wikipedia.org/wiki/Capitaine_(football)	Capitaine (football)	https://es.wikipedia.org/wiki/Capitán_(fútbol)	¿En qué año ganó Argenitna la copa del mundo siendo Lionel Messi el capitán del equipo?
99	https://zh.wikipedia.org/wiki/%E7%B4%84%E7%BF%B0%C2%B7%E6%96%AF%E6%96%87%E5%B0%BC	約翰·斯文尼	https://es.wikipedia.org/wiki/John_Swinney	¿Cuándo se unió John Swinney al Partido Nacional Escocés?
100	https://fr.wikipedia.org/wiki/The_Fens	The Fens	https://es.wikipedia.org/wiki/Fens	¿Cómo protegen de inundaciones a las zonas de marisma ubicadas en Inglaterra conocidas como los Fens o Fenland?
104	https://en.wikipedia.org/wiki/Kremlin_(fortification)	Kremlin (fortification)	https://es.wikipedia.org/wiki/Kremlin	¿Qué famoso Kremlin es conocido como la sede del gobierno ruso?
106	https://zh.wikipedia.org/wiki/%E5%85%B1%E4%BA%AB%E6%BA%90%E4%BB%A3%E7%A0%81	共享源代码	https://es.wikipedia.org/wiki/Shared_source	¿Cuál es el nombre de las licencias que Microsoft usa para distribuir su código fuente compartido?
108	https://zh.wikipedia.org/wiki/%E5%8D%A1%E6%96%AF%E7%9A%AE%E6%96%AF%E5%85%8B	卡斯皮斯克	https://es.wikipedia.org/wiki/Kaspisk	¿En qué república de Rusia se encuentra la ciudad de Kaspisk?
110	https://sv.wikipedia.org/wiki/Hylarana_elberti	Hylarana elberti	https://es.wikipedia.org/wiki/Papurana_elberti	 ¿Qué tipo de animal es Hylarana elberti?
112	https://fr.wikipedia.org/wiki/Diab%C3%A8te_de_type_2	Diabète de type 2	https://es.wikipedia.org/wiki/Diabetes_mellitus_tipo_2	 ¿Cuál es una de las principales causas del diabetes tipo 2?
113	https://zh.wikipedia.org/wiki/%E9%98%BF%E9%81%93%E5%A4%AB%C2%B7%E5%8A%A0%E5%85%B0%E5%BE%B7	阿道夫·加兰德	https://es.wikipedia.org/wiki/Adolf_Galland	¿En qué guerras participó Adolf Galland?
115	https://zh.wikipedia.org/wiki/%E6%B3%A2%E8%A5%BF%E7%B8%A3_(%E5%8D%B0%E7%AC%AC%E5%AE%89%E7%B4%8D%E5%B7%9E)	波西縣 (印第安納州)	https://es.wikipedia.org/wiki/Condado_de_Posey	¿En qué estado de EE. UU. se encuentra el Condado de Posey?
117	https://fr.wikipedia.org/wiki/Folorunsho_Alakija	Folorunsho Alakija	https://es.wikipedia.org/wiki/Folorunsho_Alakija	 ¿En qué industrias participa Folorunsho Alakija?
118	https://zh.wikipedia.org/wiki/%E8%A7%82%E6%B5%8B%E5%AE%87%E5%AE%99%E5%AD%A6	观测宇宙学	https://es.wikipedia.org/wiki/Cosmolog%C3%ADa_observacional	 ¿Qué estudia la cosmología observacional?
119	https://zh.wikipedia.org/wiki/%E5%BA%93%E5%B0%94%E6%81%B0%E5%B0%94%C2%B7%E7%9B%96%E5%B0%94%E7%9B%96%E4%BC%8A	库尔恰尔·盖尔盖伊	https://es.wikipedia.org/wiki/Gergely_Kulcsar	¿En qué deporte destacó el atleta hungaro Gergely Kulcsar?
120	https://fr.wikipedia.org/wiki/Victoire_Tomegah_Dogb%C3%A9	Victoire Tomegah Dogbé	https://es.wikipedia.org/wiki/Victoire_Tomegah_Dogbé	¿Quién es la primera ministra de Togo desde el 2020?
122	https://fr.wikipedia.org/wiki/Comt%C3%A9_de_Gogebic	Comté de Gogebic	https://es.wikipedia.org/wiki/Condado_de_Gogebic	¿Cúantas ciudades hay en el condado de Gogebic, Michigan?
123	https://zh.wikipedia.org/wiki/%E6%B4%A5%E5%B7%B4%E5%B8%83%E9%9F%A6%E5%8E%86%E5%8F%B2	津巴布韦历史	https://es.wikipedia.org/wiki/Historia_de_Zimbabue	¿A qué países actuales corresponen las dos Rodesias (Rodesia del norte y del sur)?
125	https://zh.wikipedia.org/wiki/%E7%BA%A6%E7%BF%B0%C2%B7%E5%85%8B%E9%87%8C%E6%96%AF%E6%89%98%E5%BC%97%C2%B7%E5%A8%81%E5%88%A9%E6%96%AF	约翰·克里斯托弗·威利斯	https://es.wikipedia.org/wiki/John_Christopher_Willis	¿En qué lugar nació John Christopher Willis?
126	https://en.wikipedia.org/wiki/Aloadae	Aloadae	https://es.wikipedia.org/wiki/Alóadas	¿Cómo se llaman los Alóadas de la mitología griega?
127	https://sv.wikipedia.org/wiki/Retronym	Retronym	https://es.wikipedia.org/wiki/Retrónimo	¿Qué es un retrónimo?
128	https://zh.wikipedia.org/wiki/%E9%9F%A6%E5%BB%96%E5%A4%AB%E9%87%91%E6%B4%9E%E7%A9%B4	韦廖夫金洞穴	https://es.wikipedia.org/wiki/Cueva_Veri%C3%B3vkina	¿En qué país se encuentra la cueva Veryovkina?
129	https://zh.wikipedia.org/wiki/%E9%98%BF%E5%B0%94%E5%8D%91%E6%96%AF%E5%B8%A6	阿尔卑斯带	https://es.wikipedia.org/wiki/Cinturón_alpino	¿Cómo se llama la fase global de formación de montañas en la que se formaron los Alpes?
130	https://zh.wikipedia.org/wiki/%E5%B0%8F%E9%87%8E%E8%B2%93%E7%9A%84%E5%85%AC%E8%B7%AF%E6%AD%B7%E9%9A%AA%E8%A8%98	小野貓的公路歷險記	https://es.wikipedia.org/wiki/Faster,_Pussycat!_Kill!_Kill!	¿Cómo se llaman las tres protagonistas en la película estadounidense "Faster, Pussycat! Kill! Kill!"?
133	https://fr.wikipedia.org/wiki/Amyema	Amyema	https://es.wikipedia.org/wiki/Amyema	 ¿Qué tipo de planta es el género Amyema?
135	https://zh.wikipedia.org/wiki/%E6%B3%95%E5%9C%8B%E8%88%AA%E7%A9%BA296%E8%99%9F%E7%8F%AD%E6%A9%9F%E7%A9%BA%E9%9B%A3	法國航空296號班機空難	https://es.wikipedia.org/wiki/Vuelo_296_de_Air_France	¿Cuáles fueron las principales causas del accidente del vuelo 296 de Air France en 1988?
136	https://en.wikipedia.org/wiki/JL-2	JL-2	https://es.wikipedia.org/wiki/JL-2	¿Qué país desarroló el misil balístico JL-2?
137	https://zh.wikipedia.org/wiki/%E7%90%86%E6%9F%A5%E5%BE%B7%C2%B7%E6%B2%83%E6%81%A9%C2%B7%E6%96%AF%E5%AE%BE%E5%A1%9E	理查德·沃恩·斯宾塞	https://es.wikipedia.org/wiki/Richard_V._Spencer	¿Quién fue el Secretario de la Marina de los Estados Unidos entre 2017 y 2019?
138	https://en.wikipedia.org/wiki/BMW_X2	BMW X2	https://es.wikipedia.org/wiki/BMW_X2	 ¿En qué año se lanzó el BMW X2?
139	https://zh.wikipedia.org/wiki/%E5%8F%A4%E5%B7%B4%E5%9C%8B%E5%AE%B6%E7%94%B7%E5%AD%90%E6%8E%92%E7%90%83%E9%9A%8A	古巴國家男子排球隊	https://es.wikipedia.org/wiki/Selección_masculina_de_voleibol_de_Cuba	 ¿Cuántas medallas olímpicas ha ganado la selección masculina de voleibol de Cuba?
140	https://fr.wikipedia.org/wiki/The_Eternal_Idol	The Eternal Idol	https://es.wikipedia.org/wiki/The_Eternal_Idol	¿Cuándo fue lanzado el disco The Eternal Idol, por Black Sabbath?
141	https://zh.wikipedia.org/wiki/%E5%9C%8B%E9%9A%9B%E5%A5%87%E9%80%A3%E8%97%8D	國際奇連藍	https://es.wikipedia.org/wiki/International_Klein_Blue	¿Qué es el International Klein Blue y cuál es el origen de su nombre?
142	https://zh.wikipedia.org/wiki/%E5%93%A5%E4%BC%A6%E6%AF%94%E4%BA%9A%E6%80%BB%E7%BB%9F	哥伦比亚总统	https://es.wikipedia.org/wiki/Presidente_de_Colombia	¿Cómo se llama la residencia oficial del presidente de Colombia?
143	https://zh.wikipedia.org/wiki/Windows_Neptune	Windows Neptune	https://es.wikipedia.org/wiki/Windows_Neptune	¿En qué año se anunció la cancelación del desarrollo del sistema operativo Windows Neptune?
145	https://sv.wikipedia.org/wiki/Film_i_Frankrike	Film i Frankrike	https://es.wikipedia.org/wiki/Cine_de_Francia	¿Cómo se llama el director de  la primera película de ciencia ficción "Viaje a la Luna"?
146	https://zh.wikipedia.org/wiki/%E8%A5%BF%E9%9B%85%E5%85%B8%E4%B8%93%E5%8C%BA	西雅典专区	https://es.wikipedia.org/wiki/Unidad_periférica_de_Atenas_Occidental	 ¿De cuántos municipios consta la Unidad periférica de Atenas Occidental?
147	https://zh.wikipedia.org/wiki/%E5%87%B1%E6%92%92%E9%A6%96%E9%A0%98	凱撒首領	https://es.wikipedia.org/wiki/Kaiser_Chiefs	¿Cuándo dejó Nick Hodgson los Kaiser Chiefs?
148	https://sv.wikipedia.org/wiki/19521_Chaos	19521 Chaos	https://es.wikipedia.org/wiki/(19521)_Chaos	¿Cuánto dura el período orbital del planeta enano Chaos?
