model_input	model_id
Finns kustartilleriet fortfarande?	LumiOpen/Viking-33B
För vilken fond var Laurance Rockefeller ordförande mellan 1968 och 1980?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
För vilken roll fick Ben Johnson en BAFTA award och när fick han den?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
För vilket land spelade Domantas Sabonis i de olympiska spelen 2016?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur definieras kraftenheten newton?	LumiOpen/Poro-34B-chat
Hur djup är människans ögonhåla?	LumiOpen/Viking-33B
Hur djup är Verjovkinagrottan?	LumiOpen/Poro-34B-chat
Hur gammal är den äldsta kreml:n i Ryssland?	LumiOpen/Poro-34B-chat
Hur gammal blev Paul Egede?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur gammal var Adolf Galland när han utnämdes till generallöjtnant?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur gammal var Jef Raskin när han dog?	LumiOpen/Poro-34B-chat
Hur lång är den genomsnittliga graviditeten hos människan?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur lång är en kastanjebrun bamburåtta med och utan svans?	LumiOpen/Poro-34B-chat
Hur långt ligger Yushu från provinshuvudstaden Xining?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur långt sträcker sig vingarna hos en fullvuxen sillgrissla?	LumiOpen/Poro-34B-chat
Hur många år anvädes HMY Britannia och när togs den ur drift?	LumiOpen/Viking-33B
Hur många år efter sitt grundande togs staden Torún upp i Hanseförbundet?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många år har Chris Claremont skrivit Uncanny X-Men comics?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många barn har Johnny Cash?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många beskickningsklasser finns det inom utlandsmyndigheten?	LumiOpen/Poro-34B-chat
Hur många bröder har Dave Franco?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många församlingar ingår i Det Norske Baptistsamfunn?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många invånare bodde i det franska Étiolles år 2021?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många invånare borde i Delley-Portalban år 2021?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många invånare fanns det i Dourbies år 2008?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många invånare hade Bischofsheim 2022?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många invånare per kvadratkilometer bor i den argentinska orten General Pinedo?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många kommuner ingår i kommunalförbundet Göllheim?	LumiOpen/Poro-34B-chat
Hur många lag deltog i det 16:e Europamästerskapet i ishockey för herrar?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många landskamper har Edu Manga spelat i?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många landskamper spelade Alberto Fouilloux?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många människor per kvadratkilometer bor i Soustons i sydvästra Frankrike?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många medaljer tog Kubas herrlandslag i volleyboll i världsmästerskap och olympiska spel fram till 2010?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många NHL-matcher spelade Marko Kiprusoff?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många personer bodde i Chengjiang år 2010?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många röster fick Hassan Rouhani i presidentvalet i Iran 2013?	LumiOpen/Viking-33B
Hur många säsonger spelades in av dramaserien The Leftovers?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många spelare i Oxford University AFC har spelat för det engelska landslaget?	LumiOpen/Poro-34B-chat
Hur många stafettmedaljer vann Magnar Solberg?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många ståndare har blommor i Paternosterbönssläktet?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur många stationer ligger på Paris metrolinje 8?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur mycket av Posey County täcks av vatten?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur mycket ökade befolkningen i kommunen Malville mellan åren 1962 och 2021?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur mycket regnar det i Kabupaten Tapin?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur stor är laddningen på en kinesisk ballistisk robot JL-2?	LumiOpen/Poro-34B-chat
Hur stor är månkratern Pasteur?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur stor är motorn i en Aston Martin V12 Vanquish?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur stor är Terrazzo i provinsen Verona?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur stor ärt asteroiden 8903 Paulcruikshank?	LumiOpen/Poro-34B-chat
Hur stor yta täcker den franska kommunen Herpy-l'Arlésienne?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Hur tar man sig till Formentera?	LumiOpen/Poro-34B-chat
Hur uppmärksammade Google María Grever den 11:e februari 2021?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilka korståg deltog Geoffroi de Villehardouin?	LumiOpen/Poro-34B-chat
I vilken amerikansk delstat ligger Chichester?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken biologisk familj ingår Amblychaeturichthys?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken förvaltningsenhet ingår Rosendorf?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken fransk region ligger Le Monteil?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken idrottsgren fick Gergely Kulcsár en olympisk medalj?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken idrottsgren tävlar Gu Bon-gil?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken kanton ligger Chassagnes?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken kanton ligger den franska kommunen Joannas?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken kanton ligger Le Mesnil-Opac?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken kategori fick Cedric Liddell en olympisk medalj?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken klassisk roman är Liangshan en av skådeplatserna?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken provins ligger den ungerslka orten Terény?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken provins ligger den ungerslka orten Terény?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken region ligger Alvignac?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken region ligger Hüffelsheim?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken stad föddes Catherine McCormack?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken stad föddes regissören David Sandberg?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken tidszon ligger den amerikanske staden Valrico?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilken världsdel ligger Fodyer?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilket departement ligger kommunen La Bellière?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilket i arrondissement ligger den franska kommunen Labalme?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilket land blev Victoire Tomegah Dogbé premiärminister år 2020?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vilket TV-program medverkade Noonie Bao år 2012?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
I vlken månad är det varmast i Departamento de Federal i Argentina och var ligger medeltemperaturen på då?	LumiOpen/Poro-34B-chat
När anslöt sig Wheein till tjejgruppen Mamamoo?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När återlämnade Pietro Nenni Stalins fredspris och varför?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När benämndes den danska kulturella guldåldern i 1800-talets mitt för första gången som just "guldåldern"?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När blev Tyrannen Gelon av Gela härskare över staden Syrakusa?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När deltog Kap Verde för första gången i de olympiska spelen?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När döptes Sven Tveskägg och Harald Blåtand?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När fanns Córdobaemiratet?	LumiOpen/Poro-34B-chat
När flyttade Sophie Nélisse till Kanada?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När föddes Alan Rachins?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När föddes Chance the Rapper?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När grundades den romerska staden Lugdunum?	LumiOpen/Viking-33B
När grundades staden Ożarów?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När har Stellan namnsdag enligt den svenska almanackan?	LumiOpen/Poro-34B-chat
När levde den grekiska filosofen Theano?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När och var introduceraqdes BMW F39:n?	LumiOpen/Poro-34B-chat
När ockuperade franska trupper den albanska republiken Korça?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När patenterades International Klein Blue?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När regerade den persiska kungen Bahram I?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När skapades en allians mellan Sparta, Aten och Ptolemaios II av Egypten av den atenske statsmannen och generalen Chremonides?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När spelade Hamilton Academical FC sin första match och hur slutade den?	LumiOpen/Poro-34B-chat
När upptäcktes asteroiden 5412 Rou?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När upptäcktes asteroiden 7532 Pelhřimov och vem gjorde det?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När utnämndes Gregorius III Laham till överhuvudet i den Melkitiska grekisk-katolska kyrkan?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När utvecklades operativsystemet Windows Neptune?	LumiOpen/Poro-34B-chat
När vann HJK Helsingfors sitt första finländska mästerskap?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
När vann Kayle Browning en olympisk silvermedalj?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Över vilken yta sträcker sig kommunen Prad am Stilfserjoch?	LumiOpen/Poro-34B-chat
På vilken dag infaller skördefesten i Korea och vad kallas dagen?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
På vilken höjd ligger orten Pferdingsleben i Thüringen?	LumiOpen/Poro-34B-chat
På vilken japansk ö ligger Sakata?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
På vilken plats avslutade Fredrikstad FK den norska Tippeligan 2008?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
På vilken position spelade Bert Olmstead?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
På vilken position spelar fotballspelaren Mario Bolatti?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
På vilken sida av sjön Walensee ligger kommunen Quarten i Schweiz?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
På vilket universitet jobbade arkitekten Gunnar Asplund?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Till vilken biologisk familj tillhör den afrikanska havsgösen?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Till vilken biologisk familj tillhör Erysiphaceae?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Under vilken ålder kan det uppstå en cerebral pares?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Under vilken tid levde Nimravidae?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad är åldersgränsen för dataspelet F.E.A.R.?	LumiOpen/Poro-34B-chat
Vad är befolkningstätheten i Mouthier-Haute-Pierre?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad är det för speciellt med Omega Centauri?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad är en blindarkad?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad är en Hylarana elberti?	LumiOpen/Viking-33B
Vad är en retronym?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad är en stämbandspolyp och hur behandlas den?	LumiOpen/Poro-34B-chat
Vad är ett känselspröt och vad används det till?	LumiOpen/Poro-34B-chat
Vad är medeltemperaturen för den varmaste månaden i Province de l'Oudalan?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad är medeltemperaturen i Cilleruelo de San Mamés?	LumiOpen/Poro-34B-chat
Vad är medeltemperaturen i Füzesabonyi Járás?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad är Palm River-Clair Mel?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad är titeln för den andliga ledaren i den buddhistiska inriktningen sakya?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad är Vaux-en-Amiénois för sorts adminstrativ enhet?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad beslutades om heliga bilder på andra konciliet i Nicaea?	LumiOpen/Poro-34B-chat
Vad betyder "Alemanner" ursprungligen?	LumiOpen/Viking-33B
Vad betyder "Mir"?	LumiOpen/Poro-34B-chat
Vad heter arenan där HSC Csíkszereda spelar sina hemmamatcher?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad heter basisten i In Flames?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad heter Black Sabbaths trettonde studioalbum och när kom det ut?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad heter den högsta punkten på ön La Gomera?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad heter den politiska rörelse som grundades av Hugo Chávez?	LumiOpen/Viking-33B
Vad heter den sista filmen som Frances Farmer medverkade i?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad heter den största staden i den indiska delstaten Punjab?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad heter den största stadsdelen i Nizjnij Tagil?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad heter det högsta berget i Litauen och hur högt är det?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad heter filmen om befälhavaren Aleksandr Koltjak som regisserades av Andrej Kravtjuk?	LumiOpen/Poro-34B-chat
Vad heter församlingen där pastorn Dan Kimball var pastor?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad heter Gianrico Carofiglio debutroman på originalspråk och vad heter den på svenska?	LumiOpen/Poro-34B-chat
Vad heter huvudorten i Gogebic County?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad heter modemärket som grundades av Folorunsho Alakija?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad heter nudiststranden på Agistri?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad heter ortsdelarna i Beauvechain?	LumiOpen/Poro-34B-chat
Vad heter slottsruinen i Pennard?	LumiOpen/Poro-34B-chat
Vad heter världen Bruce Sterling berskriver i sin debutroman?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad hette den österrikiska Red Bull Arena:n tidigare?	LumiOpen/Poro-34B-chat
Vad kallas Hamilton Academical FC av sina supportrar?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vad karakteriserar mat från staden Ningbo?	LumiOpen/Viking-33B
Vad syftar namnet på i 19521-Chaos-objektet som ligger i Kuiperbältet?	LumiOpen/Poro-34B-chat
Vad vann María Espinoza i de olympiska spelen 2012 och med vem delade hon medaljen?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Var bodde John Christopher Willis under sin livstid?	LumiOpen/Poro-34B-chat
Var börjar den tyska motorvägen A73?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Var föddes Lil Dagover?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Var i Frankrike ligger kommunen Chiddes?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Var ligger staden Al-Khobar?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Var ligger staden Kaspijsk?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Var ligger stjärnan HD 123569?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Var utbildades Liu Wenhui?	LumiOpen/Viking-33B
Varifrån fick Steelville sitt namn?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Varifrån kommer namnet "Galicien"?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vem är trummisen i Kaiser Chiefs?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vem beskrev Cyrtophora moluccensis för första gången?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vem beskrev Zonitoides snäckor år 1862?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vem gav namn till orten Manteo i North Carolina?	LumiOpen/Poro-34B-chat
Vem regisserade "Faster, Pussycat! Kill! Kill!"?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vem ritade Cappella De Sylva i Sant'Isidoro a Capo le Case?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vem skapade den fiktiva karaktären Elaka Måns?	LumiOpen/Poro-34B-chat
Vem skapade den första animerade filmen?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vem spelade huvudrollen i filmateriseringen av Dan Browns bok Inferno?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vem spelar FBI-agenten Peter Burke i White Collar?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vem vann olympisk gold i 100m bröstsim i Los Angeles?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vem vann slaget vid Long Island?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vem var först att beskriva fiskarten Pseudomugil gertrudae?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vem var kejsaren under den japanska Genkyō-perioden?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vilka idrottare var med i damernas stafett i världsmästerskapen i skidskytte 1991 som tävlade för Norge och vilken medalj vann de?	LumiOpen/Poro-34B-chat
Vilka karakterisktiska särdrag utmärkar kidnapparfågeln?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vilka kontinentalplattor orsakar Alpiderna genom sina rörelser?	LumiOpen/Poro-34B-chat
Vilka licensvarianter lanserades av Microsoft som delad källkod?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vilka musiker startade indierockbandet HEALTH?	LumiOpen/Poro-34B-chat
Vilka olympiska medaljer tog Lü Lin?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vilka sorters rom av märket "Captain Morgan" kan man köpa på Systembolaget?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vilka symptom kan framträda till följd av typ-2 diabetes?	LumiOpen/Poro-34B-chat
Vilka var "Border Ruffians"?	LumiOpen/Viking-33B
Vilka yrken hade Carl Axel Löwenhielm?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vilken amerikansk myndighet reglerar bromsvätskornas grundegenskaper genom olika direktiv?	LumiOpen/Poro-34B-chat
Vilken asteroid är uppkallad efter Sergej Parajanov?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vilken bok är filmen Tuck Everlasting baserad på?	LumiOpen/Poro-34B-chat
Vilken färg har djungelgyllingens näbb?	LumiOpen/Poro-34B-chat
Vilken roll spelar Donny Chavez i TV-serien "The Punisher"?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vilken stad bröt de portugisiska republikanska revolterna ut i?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vilken växtart är Tilia dasystyla?	LumiOpen/Poro-34B-chat
Vilket arkitektkontor ritade utbyggnaden av Groninger Museum på 90-talet?	LumiOpen/Poro-34B-chat
Vilket arrondissement ligger Saint-Clément i?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vilket lopp sprang Feng Kai när han vann bronsmedaljen i de olymiska spelen 2002?	AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct-gguf
Vilket motto hade leksaksföretaget Takara?	LumiOpen/Poro-34B-chat
Vilket namn fick arten Mesoplodon traversii på 90-talet?	LumiOpen/Poro-34B-chat