URL	Rubrik	Språk	200	Not
https://en.wikipedia.org/wiki/David_F._Sandberg	David F. Sandberg	en,fi,sv,zh,fr	I vilken stad föddes regissören David Sandberg?	
https://en.wikipedia.org/wiki/Nokia_E5-00	Nokia E5-00	en,fr,fi		
https://en.wikipedia.org/wiki/Mouthier-Haute-Pierre	Mouthier-Haute-Pierre	en,fr,sv,zh	Vad är befolkningstätheten i Mouthier-Haute-Pierre?	
https://en.wikipedia.org/wiki/Cyrtophora_moluccensis	Cyrtophora moluccensis	en,fr,sv,zh	Vem beskrev Cyrtophora moluccensis för första gången?	
https://en.wikipedia.org/wiki/Cilleruelo_de_San_Mam%C3%A9s	Cilleruelo de San Mamés	en,fr,sv,zh	Vad är medeltemperaturen i Cilleruelo de San Mamés?	
https://en.wikipedia.org/wiki/Helsingin_Jalkapalloklubi	Helsingin Jalkapalloklubi	en,fi,sv,zh,fr	När vann HJK Helsingfors sitt första finländska mästerskap?	
https://en.wikipedia.org/wiki/Zonitoides	Zonitoides	en,sv,zh	Vem beskrev Zonitoides snäckor år 1862?	
https://en.wikipedia.org/wiki/Gampel-Bratsch	Gampel-Bratsch	en,fr,sv,zh		very little text on Swedish Wikipedia
https://en.wikipedia.org/wiki/Pet_store	Pet store	en,fr,fi,zh		
https://en.wikipedia.org/wiki/Tilia_dasystyla	Tilia dasystyla	en,fr,sv	Vilken västart är Tilia dasystyla?	
https://en.wikipedia.org/wiki/White-winged_chough	White-winged chough	en,fr,fi,sv	Vilka karakterisktiska särdrag utmärkar kidnapparfågeln?	
https://en.wikipedia.org/wiki/Input%E2%80%93output_memory_management_unit	Input–output memory management unit	en,fi,zh		
https://en.wikipedia.org/wiki/1997%E2%80%9398_Asian_Club_Championship	1997–98 Asian Club Championship	en,fr,zh		
https://en.wikipedia.org/wiki/FC_Zhenis	FC Zhenis	en,fr,fi,zh		
https://en.wikipedia.org/wiki/Herpy-l%27Arl%C3%A9sienne	Herpy-l'Arlésienne	en,fi,sv,zh,fr	Hur stor yta täcker den franska kommunen Herpy-l'Arlésienne?	
https://en.wikipedia.org/wiki/Irus_irus	Irus irus	en,sv,zh		
https://en.wikipedia.org/wiki/Petra_van_Staveren	Petra van Staveren	en,fi,sv,zh,fr	Vem vann olympisk gold i 100m bröstsim i Los Angeles?	
https://en.wikipedia.org/wiki/Paul_Egede	Paul Egede	en,fr,sv	Hur gammal blev Paul Egede?	
https://en.wikipedia.org/wiki/Argyrosomus_hololepidotus	Argyrosomus hololepidotus	en,sv,zh	Till vilken biologisk familj tillhör den afrikanska havsgösen?	
https://en.wikipedia.org/wiki/Carl_L%C3%B6wenhielm	Carl Löwenhielm	en,fr,fi,sv	Vilka yrken hade Carl Axel Löwenhielm?	
https://en.wikipedia.org/wiki/H%C3%BCffelsheim	Hüffelsheim	en,fr,sv,zh	I vilken region ligger Hüffelsheim?	
https://en.wikipedia.org/wiki/Steelville,_Missouri	Steelville, Missouri	en,fr,sv,zh	Varifrån fick Steelville sitt namn?	
https://en.wikipedia.org/wiki/Western_oriole	Western oriole	en,fr,fi,sv	Vilken färg har djungelgyllingens näbb?	
https://en.wikipedia.org/wiki/White_Collar_(TV_series)	White Collar (TV series)	en,fi,sv,zh,fr	Vem spelar FBI-agenten Peter Burke i White Collar?	
https://en.wikipedia.org/wiki/Dharma_name	Dharma name	en,fr,zh		
https://en.wikipedia.org/wiki/Ted_Lange	Ted Lange	fr,fi		
https://en.wikipedia.org/wiki/Chris_Claremont	Chris Claremont	en,fr,fi,sv	Hur många år har Chris Claremont skrivit Uncanny X-Men comics?	
https://en.wikipedia.org/wiki/Bundesautobahn_73	Bundesautobahn 73	en,fr,sv	Var börjar den tyska motorvägen A73?	
https://en.wikipedia.org/wiki/Gianrico_Carofiglio	Gianrico Carofiglio	en,fr,sv	Vad heter Gianrico Carofiglio debutroman på originalspråk och vad heter den på svenska?	
https://en.wikipedia.org/wiki/Bischofsheim,_Hesse	Bischofsheim, Hesse	en,fr,sv,zh	Hur många invånare hade Bischofsheim 2022?	
https://en.wikipedia.org/wiki/Hamilton_Academical_F.C.	Hamilton Academical F.C.	en,fi,sv,zh,fr	När spelade Hamilton Academical FC sin första match och hur slutade den?	
https://en.wikipedia.org/wiki/Ghislain_Konan	Ghislain Konan	en,fr,zh		
https://en.wikipedia.org/wiki/Swedish_Navy	Swedish Navy	en,fi,sv,zh,fr	Finns kustartilleriet fortfarande?	
https://en.wikipedia.org/wiki/Pennard	Pennard	en,fr,sv	Vad heter slottsruinen i Pennard?	
https://en.wikipedia.org/wiki/Galicia_(Spain)	Galicia (Spain)	en,fi,sv,zh,fr	Varifrån kommer namnet "Galicien"?	
https://en.wikipedia.org/wiki/United_States_Army_Medical_Command	United States Army Medical Command	en,fr,zh		
https://zh.wikipedia.org/wiki/%E5%92%8C%E5%B9%B3%E5%8F%B7%E7%A9%BA%E9%97%B4%E7%AB%99	和平号空间站	zh,en,fi,fr,sv	Vad betyder "Mir"? 	note, intentionally ambiguous question - can be "värld" or "fred"
https://zh.wikipedia.org/wiki/%E6%88%B4%E5%A4%AB%C2%B7%E5%BC%97%E8%98%AD%E7%A7%91	戴夫·弗蘭科	zh,en,fi,fr,sv	Hur många bröder har Dave Franco?	
https://zh.wikipedia.org/wiki/%E5%88%B6%E8%A3%81%E8%80%85_(%E9%9B%BB%E8%A6%96%E5%8A%87)	制裁者 (電視劇)	zh,en,fi,fr,sv	Vilken roll spelar Donny Chavez i TV-serien "The Punisher"?	
https://zh.wikipedia.org/wiki/%E5%A1%94%E5%B9%B3%E5%8E%BF	塔平县	zh,en,fr,sv	Hur mycket regnar det i Kabupaten Tapin?	
https://zh.wikipedia.org/wiki/%E7%B4%85%E7%89%9B%E9%AB%94%E8%82%B2%E5%A0%B4_(%E8%96%A9%E7%88%BE%E6%96%AF%E5%A0%A1)	紅牛體育場 (薩爾斯堡)	zh,en,fi,fr,sv	Vad hette den österrikiska Red Bull Arena:n tidigare?	
https://sv.wikipedia.org/wiki/Captain_Morgan	Captain Morgan	sv,en,fr,fi	Vilka sorter rom av märket "Captain Morgan" kan man köpa på Systembolaget?	
https://zh.wikipedia.org/wiki/%E8%93%AC%E4%BD%90%E5%86%85	蓬佐内	zh,en,fr,sv	Vad kallas Hamilton Academical FC av sina supportrar?	
https://fr.wikipedia.org/wiki/%C3%89tude_cas-t%C3%A9moins	Étude cas-témoins	fr,en,fi,sv,zh		
https://fr.wikipedia.org/wiki/Championnats_du_monde_de_biathlon_1991	Championnats du monde de biathlon 1991	fr,en,fi,sv	Vilka idrottare var med i damernas stafett i världsmästerskapen i skidskytte 1991 som tävlade för Norge och vilken medalj vann de?	
https://sv.wikipedia.org/wiki/Edu_Manga	Edu Manga	sv,en,fr,fi,zh	Hur många landskamper har Edu Manga spelat i?	
https://zh.wikipedia.org/wiki/%E5%8D%A2%E6%A0%BC%E6%9D%9C%E5%8A%AA%E5%A7%86	卢格杜努姆	zh,en,fr,sv	När grundades den romerska staden Lugdunum?	
https://fr.wikipedia.org/wiki/Xiong_Ai	Xiong Ai	fr,en,zh		
https://sv.wikipedia.org/wiki/A_Portuguesa	A Portuguesa	sv,en,fr,fi,zh	Vilken stad bröt de republikanska revolterna ut i?	
https://sv.wikipedia.org/wiki/Bleeding_Kansas	Bleeding Kansas	sv,en,fr,zh	Vilka var "Border Ruffians"?	
https://fr.wikipedia.org/wiki/Manifestations_de_mars-avril_2022_au_P%C3%A9rou	Manifestations de mars-avril 2022 au Pérou	fr,en,zh		
https://zh.wikipedia.org/wiki/%E9%A5%B6%E8%88%8C%E8%80%85%E9%92%B1%E6%96%AF	饶舌者钱斯	zh,en,fi,fr,sv	När föddes Chance the Rapper?	
https://en.wikipedia.org/wiki/Sustainable_city	Sustainable city	en,fr,fi,zh		
https://sv.wikipedia.org/wiki/Zhejiangk%C3%B6ket	Zhejiangköket	sv,en,fr,zh	Vad karakteriserar maten från staden Ningbo?	
https://zh.wikipedia.org/wiki/%E7%93%A6%E7%88%BE%E9%87%8C%E7%A7%91_(%E4%BD%9B%E7%BE%85%E9%87%8C%E9%81%94%E5%B7%9E)	瓦爾里科 (佛羅里達州)	zh,en,fr,sv	I vilken tidszon ligger den amerikanske staden Valrico?	
https://zh.wikipedia.org/wiki/%E4%B8%8B%E5%A1%94%E5%90%89%E5%B0%94	下塔吉尔	zh,en,fi,fr,sv	Vad heter den största stadsdelen i Nizjnij Tagil?	
https://zh.wikipedia.org/wiki/%E5%8A%9B	力	zh,en,fi,fr,sv	Hur definieras kraftenheten newton?	
https://fr.wikipedia.org/wiki/Quarten	Quarten	fr,en,sv,zh	På vilken sida av sjön Walensee ligger kommunen Quarten i Schweiz?	
https://sv.wikipedia.org/wiki/V%C3%A4rldsm%C3%A4sterskapet_i_ishockey_f%C3%B6r_herrar_1931	Världsmästerskapet i ishockey för herrar 1931	sv,en,fr,fi	Hur många lag deltog i det 16:e Europamästerskapet i ishockey för herrar?	
https://zh.wikipedia.org/wiki/%E8%96%A9%E8%BF%A6%E6%B3%95%E7%8E%8B	薩迦法王	zh,en,fr,sv	Vad heter titeln av den andliga ledaren i den buddhistiska inriktningen sakya?	
https://fr.wikipedia.org/wiki/General_Pinedo	General Pinedo	fr,en,sv,zh	Hur många invånare per kvadratkilometer bor i den argentinska orten General Pinedo?	
https://sv.wikipedia.org/wiki/Toru%C5%84	Toruń	sv,en,fr,fi,zh	Hur många år efter den grundades togs staden Torún upp i Hanseförbundet?	
https://en.wikipedia.org/wiki/Gregory_III_Laham	Gregory III Laham	en,fr,sv,zh	När utnämndes Gregorius III Laham till överhuvudet i den Melkitiska grekisk-katolska kyrkan?	
https://sv.wikipedia.org/wiki/F%C3%B6rlossning	Förlossning	sv,en,fr,fi,zh	Hur lång är den genomsnittliga graviditeten hos människan?	
https://zh.wikipedia.org/wiki/%E5%B7%A7%E5%85%8B%E5%8A%9B%E7%B3%96%E6%BC%BF	巧克力糖漿	zh,en,fr,sv		
https://fr.wikipedia.org/wiki/Jef_Raskin	Jef Raskin	fr,en,fi,sv,zh	Hur gammal var Jef Raskin när han dog?	
https://fr.wikipedia.org/wiki/Delley-Portalban	Delley-Portalban	fr,en,sv,zh	Hur många invånare borde i Delley-Portalban år 2021?	
https://zh.wikipedia.org/wiki/%E5%8A%89%E6%98%93%E6%96%AF%E6%95%A6_(%E5%AF%86%E8%98%87%E9%87%8C%E5%B7%9E)	劉易斯敦 (密蘇里州)	zh,en,fr		
https://zh.wikipedia.org/wiki/%E5%87%B1%E4%BC%8A%E7%88%BE%C2%B7%E7%99%BD%E6%9C%97%E5%AF%A7	凱伊爾·白朗寧	zh,en,fr,sv	När vann Kayle Browning en olympisk silvermedalj?	
https://zh.wikipedia.org/wiki/%E5%B8%8C%E5%BE%B7_(%E7%B4%A2%E6%81%A9-%E5%8D%A2%E7%93%A6%E5%B0%94%E7%9C%81)	希德 (索恩-卢瓦尔省)	zh,en,fr,sv	Var i Frankrike ligger kommunen Chiddes?	
https://fr.wikipedia.org/wiki/Prato_allo_Stelvio	Prato allo Stelvio	fr,en,sv,zh	Över vilken yta sträcker sig kommunen Prad am Stilfserjoch?	
https://zh.wikipedia.org/wiki/2011%E5%B9%B4%E6%AD%90%E6%B4%B2%E8%B6%85%E7%B4%9A%E7%9B%83	2011年歐洲超級盃	zh,en,fi,fr		
https://sv.wikipedia.org/wiki/HD_123569	HD 123569	sv,en,fr,zh	Var ligger stärnan HD 123569?	
https://zh.wikipedia.org/wiki/%E8%8E%AB%E9%87%8C%E8%8C%A8%C2%B7%E7%A6%8F%E5%B0%94%E8%8C%A8	莫里茨·福尔茨	zh,en,fi,fr		
https://sv.wikipedia.org/wiki/Virginia_Cavaliers	Virginia Cavaliers	sv,en,fr,zh		
https://zh.wikipedia.org/wiki/%E6%B2%99%E8%90%A8%E6%B6%85	沙萨涅	zh,en,fr,sv	I vilken kanton ligger Chassagnes?	
https://en.wikipedia.org/wiki/Antenna_(biology)	Antenna (biology)	en,fr,fi,sv,zh	Vad är en känselspröt och vad används det som?	
https://zh.wikipedia.org/wiki/%E7%BD%97%E6%A3%AE%E5%A4%9A%E5%A4%AB	罗森多夫	zh,en,fr,sv	I vilken förvaltningsenhet ingår Rosendorf?	
https://zh.wikipedia.org/wiki/%E7%99%BD%E7%B2%89%E8%8F%8C%E7%9B%AE	白粉菌目	zh,en,fi,fr,sv	Till vilken biologisk familj tillhör Erysiphaceae?	
https://sv.wikipedia.org/wiki/Ludhiana	Ludhiana	sv,en,fr,fi,zh	Vad heter den största staden i den indiska delstaten Punjab?	
https://sv.wikipedia.org/wiki/Bert_Olmstead	Bert Olmstead	sv,en,fr,fi	På vilken position spelade Bert Olmstead?	
https://fr.wikipedia.org/wiki/Fortescue_(Missouri)	Fortescue (Missouri)	fr,en,zh		
https://zh.wikipedia.org/wiki/%E8%85%A6%E6%80%A7%E9%BA%BB%E7%97%BA	腦性麻痺	zh,en,fi,fr,sv	Under vilken ålder kan det uppstå en cerebral pares?	
https://zh.wikipedia.org/wiki/%E9%93%B2%E9%BD%BF%E4%B8%AD%E5%96%99%E9%B2%B8	铲齿中喙鲸	zh,en,fi,fr,sv	Vilket namn fick arten Mesoplodon traversii på 90-talet?	
https://sv.wikipedia.org/wiki/F%C3%BCzesabonyi_J%C3%A1r%C3%A1s	Füzesabonyi Járás	sv,en,fr,zh	Vad är medeltemperaturen i Füzesabonyi Járás?	
https://fr.wikipedia.org/wiki/Khobar	Khobar	fr,en,fi,sv,zh	Var ligger staden Al-Khobar?	
https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Supporting_Role	BAFTA Award for Best Actor in a Supporting Role	en,fr,fi,sv,zh	För vilken roll fick Ben Johnson en BAFTA award och när fick han den?	
https://fr.wikipedia.org/wiki/Deuxi%C3%A8me_concile_de_Nic%C3%A9e	Deuxième concile de Nicée	fr,en,fi,sv,zh	Vad beslutades om heliga bilder på andra konciliet i Nicaea?	
https://en.wikipedia.org/wiki/Mario_Bolatti	Mario Bolatti	en,fr,fi,sv,zh	På vilken position spelar fotballspelaren Mario Bolatti?	
https://en.wikipedia.org/wiki/Spotted_blue-eye	Spotted blue-eye	en,fr,sv,zh	Vem var först att beskriva fiskarten Pseudomugil gertrudae?	
https://zh.wikipedia.org/wiki/%E6%A2%81%E5%B1%B1%E5%8E%BF	梁山县	zh,en,fr,sv	I vilken klassisk roman är Liangshan en av skådeplatserna?	
https://zh.wikipedia.org/wiki/%E5%A5%A7%E5%BA%AB%E6%96%AF%E6%89%98%E9%9B%85%E6%96%AF%E5%B1%B1	奧庫斯托雅斯山	zh,en,fi,fr,sv	Vad heter det högsta berget i Litauen och hur högt är det?	
https://zh.wikipedia.org/wiki/%E7%A7%91%E5%B0%94%E5%AF%9F%E8%87%AA%E6%B2%BB%E7%9C%81	科尔察自治省	zh,en,fr,sv	När ockuperade franska trupper den albanska republiken Korça?	
https://fr.wikipedia.org/wiki/D%C3%A9partement_de_Federal	Département de Federal	fr,en,sv,zh	I vlken månad är det varmast i Departamento de Federal i Argentina och var ligger medeltemperaturen då?	
https://fr.wikipedia.org/wiki/Sophie_N%C3%A9lisse	Sophie Nélisse	fr,en,sv	När flyttade Sophie Nélisse till Kanada?	
https://en.wikipedia.org/wiki/Wheein	Wheein	en,fr,sv,zh	När anslöt sig Wheein tjejgruppen Mamamoo?	
https://sv.wikipedia.org/wiki/7532_Pelh%C5%99imov	7532 Pelhřimov	sv,en,fr,zh	När upptäcktes asteroiden 7532 Pelhřimov och vem gjorde det?	
https://fr.wikipedia.org/wiki/Capitaine_(football)	Capitaine (football)	fr,en,zh		
https://zh.wikipedia.org/wiki/%E7%B4%84%E7%BF%B0%C2%B7%E6%96%AF%E6%96%87%E5%B0%BC	約翰·斯文尼	zh,en,fr		
https://fr.wikipedia.org/wiki/The_Fens	The Fens	fr,en,fi		
https://zh.wikipedia.org/wiki/%E5%9F%83%E8%92%82%E5%A5%A5%E5%8B%92	埃蒂奥勒	zh,en,fr,sv	Hur många invånare borde i det franska Étiolles år 2021?	
https://sv.wikipedia.org/wiki/Labalme	Labalme	sv,en,fr,zh	I vilket i arrondissement ligger den franska kommunen Labalme?	
https://fr.wikipedia.org/wiki/Soustons	Soustons	fr,en,sv,zh	Hur många människor per kvadratkilometer bor i Soustons sydvästra Frankrike?	
https://en.wikipedia.org/wiki/Kremlin_(fortification)	Kremlin (fortification)	en,fr,fi,sv,zh	Hur gammal är den äldsta kreml:n i Ryssland?	
https://zh.wikipedia.org/wiki/150	150	zh,en,fr,sv		
https://zh.wikipedia.org/wiki/%E5%85%B1%E4%BA%AB%E6%BA%90%E4%BB%A3%E7%A0%81	共享源代码	zh,en,fi,fr,sv	Vilka licensvarianter lanserades av Microsoft som delad källkod?	
https://sv.wikipedia.org/wiki/8536_M%C3%A5ns	8536 Måns	sv,en,fr,zh	Vem skapade den fiktiva karaktären Elaka Måns?	
https://zh.wikipedia.org/wiki/%E5%8D%A1%E6%96%AF%E7%9A%AE%E6%96%AF%E5%85%8B	卡斯皮斯克	zh,en,fi,fr,sv	Var ligger staden Kaspijsk?	
https://zh.wikipedia.org/wiki/%E8%8B%A5%E9%98%BF%E7%BA%B3	若阿纳	zh,en,fi,fr,sv	I vilken kanton ligger den franska kommunen Joannas?	
https://sv.wikipedia.org/wiki/Hylarana_elberti	Hylarana elberti	sv,en,fr	Vad är en Hylarana elberti?	
https://sv.wikipedia.org/wiki/La_Belli%C3%A8re,_Seine-Maritime	La Bellière, Seine-Maritime	sv,en,fr,zh	I vilket departement ligger kommunen La Bellière?	
https://fr.wikipedia.org/wiki/Diab%C3%A8te_de_type_2	Diabète de type 2	fr,en,fi,sv,zh	Vilka symptom finns det med typ-2 diabetes?	
https://zh.wikipedia.org/wiki/%E9%98%BF%E9%81%93%E5%A4%AB%C2%B7%E5%8A%A0%E5%85%B0%E5%BE%B7	阿道夫·加兰德	zh,en,fi,fr,sv	Hur gammal var Adolf Galland när han utnämdes till generallöjtnant?	
https://zh.wikipedia.org/wiki/%E5%9C%A3%E7%93%A6%E5%B0%94	圣瓦尔	zh,en,fr,sv		
https://zh.wikipedia.org/wiki/%E6%B3%A2%E8%A5%BF%E7%B8%A3_(%E5%8D%B0%E7%AC%AC%E5%AE%89%E7%B4%8D%E5%B7%9E)	波西縣 (印第安納州)	zh,en,fr,sv	Hur mycket av Posey County täcks av vatten?	
https://zh.wikipedia.org/wiki/%E4%BB%A5%E8%89%B2%E5%88%97%E8%88%AA%E7%A9%BA402%E8%99%9F%E7%8F%AD%E6%A9%9F%E7%A9%BA%E9%9B%A3	以色列航空402號班機空難	zh,en,fi,fr		
https://fr.wikipedia.org/wiki/Folorunsho_Alakija	Folorunsho Alakija	fr,en,fi,sv	Vad heter modemärket som grundades av Folorunsho Alakija?	
https://zh.wikipedia.org/wiki/%E8%A7%82%E6%B5%8B%E5%AE%87%E5%AE%99%E5%AD%A6	观测宇宙学	zh,en,fi,fr		
https://zh.wikipedia.org/wiki/%E5%BA%93%E5%B0%94%E6%81%B0%E5%B0%94%C2%B7%E7%9B%96%E5%B0%94%E7%9B%96%E4%BC%8A	库尔恰尔·盖尔盖伊	zh,en,fi,fr,sv	I vilken idrottsgren fick Gergely Kulcsár en olympisk medalj?	
https://fr.wikipedia.org/wiki/Victoire_Tomegah_Dogb%C3%A9	Victoire Tomegah Dogbé	fr,en,fi,sv	I vilket land blev Victoire Tomegah Dogbé premiärminister år 2020?	
https://zh.wikipedia.org/wiki/695%E5%B9%B4	695年	zh,en,fi,fr,sv		
https://fr.wikipedia.org/wiki/Comt%C3%A9_de_Gogebic	Comté de Gogebic	fr,en,fi,sv,zh	Vad heter huvudorten i Gogebic County?	
https://zh.wikipedia.org/wiki/%E6%B4%A5%E5%B7%B4%E5%B8%83%E9%9F%A6%E5%8E%86%E5%8F%B2	津巴布韦历史	zh,en,fi,fr		
https://zh.wikipedia.org/wiki/%E5%B0%8F%E8%A1%8C%E6%98%9F8903	小行星8903	zh,en,fr,sv	Hur stor ärt asteroiden 8903 Paulcruikshank?	
https://zh.wikipedia.org/wiki/%E7%BA%A6%E7%BF%B0%C2%B7%E5%85%8B%E9%87%8C%E6%96%AF%E6%89%98%E5%BC%97%C2%B7%E5%A8%81%E5%88%A9%E6%96%AF	约翰·克里斯托弗·威利斯	zh,en,fr,sv	Var borde John Christopher Willis under sin livstid?	
https://en.wikipedia.org/wiki/Aloadae	Aloadae	en,fr,fi,zh		
https://sv.wikipedia.org/wiki/Retronym	Retronym	sv,en,fr,zh	Vad är en retronym?	
https://zh.wikipedia.org/wiki/%E9%9F%A6%E5%BB%96%E5%A4%AB%E9%87%91%E6%B4%9E%E7%A9%B4	韦廖夫金洞穴	zh,en,fr,sv	Hur djupt är Verjovkinagrottan?	
https://zh.wikipedia.org/wiki/%E9%98%BF%E5%B0%94%E5%8D%91%E6%96%AF%E5%B8%A6	阿尔卑斯带	zh,en,fr,sv	Rörelsen av vilka kontnentalplattor ursaka Alpiderna?	
https://zh.wikipedia.org/wiki/%E5%B0%8F%E9%87%8E%E8%B2%93%E7%9A%84%E5%85%AC%E8%B7%AF%E6%AD%B7%E9%9A%AA%E8%A8%98	小野貓的公路歷險記	zh,en,fr,sv	Vem regisserade "Faster, Pussycat! Kill! Kill!"?	
https://en.wikipedia.org/wiki/Swea_City,_Iowa	Swea City, Iowa	en,fr,zh		
https://fr.wikipedia.org/wiki/Gare_de_Walthamstow_Central	Gare de Walthamstow Central	fr,en,zh		
https://fr.wikipedia.org/wiki/Amyema	Amyema	fr,en,sv,zh		
https://fr.wikipedia.org/wiki/Marko_Kiprusoff	Marko Kiprusoff	fr,en,fi,sv,zh	Hur många NHL-matcher spelade Marko Kiprusoff?	
https://zh.wikipedia.org/wiki/%E6%B3%95%E5%9C%8B%E8%88%AA%E7%A9%BA296%E8%99%9F%E7%8F%AD%E6%A9%9F%E7%A9%BA%E9%9B%A3	法國航空296號班機空難	zh,en,fi,fr		
https://en.wikipedia.org/wiki/JL-2	JL-2	en,fr,sv,zh	Hur stor är laddningen på en kinesisk ballistisk robot JL-2?	
https://zh.wikipedia.org/wiki/%E7%90%86%E6%9F%A5%E5%BE%B7%C2%B7%E6%B2%83%E6%81%A9%C2%B7%E6%96%AF%E5%AE%BE%E5%A1%9E	理查德·沃恩·斯宾塞	zh,en,fr		
https://en.wikipedia.org/wiki/BMW_X2	BMW X2	en,fi,sv,zh	När och var introduceraqdes BMW F39:n?	
https://zh.wikipedia.org/wiki/%E5%8F%A4%E5%B7%B4%E5%9C%8B%E5%AE%B6%E7%94%B7%E5%AD%90%E6%8E%92%E7%90%83%E9%9A%8A	古巴國家男子排球隊	zh,en,fi,fr,sv	Hur många medaljer tog Kubas herrlandslag i volleyboll i världsmästerskap och olympiska spel fram till 2010?	
https://fr.wikipedia.org/wiki/The_Eternal_Idol	The Eternal Idol	fr,en,fi,sv	Vad heter Black Sabbaths trettonde studioalbum och när kom det ut?	
https://zh.wikipedia.org/wiki/%E5%9C%8B%E9%9A%9B%E5%A5%87%E9%80%A3%E8%97%8D	國際奇連藍	zh,en,fr,sv	När patenterades International Klein Blue?	
https://zh.wikipedia.org/wiki/%E5%93%A5%E4%BC%A6%E6%AF%94%E4%BA%9A%E6%80%BB%E7%BB%9F	哥伦比亚总统	zh,en,fi,fr		
https://zh.wikipedia.org/wiki/Windows_Neptune	Windows Neptune	zh,en,fr,sv	När utvecklades operativsystemet Windows Neptune?	
https://zh.wikipedia.org/wiki/%E5%85%83%E4%BA%A8_(%E6%97%A5%E6%9C%AC)	元亨 (日本)	zh,en,fr,sv	Vem var kejsaren under den japanska Genkyō-perioden?	
https://sv.wikipedia.org/wiki/Film_i_Frankrike	Film i Frankrike	sv,en,fr,zh	Vem skapade den första animerade filmen?	
https://zh.wikipedia.org/wiki/%E8%A5%BF%E9%9B%85%E5%85%B8%E4%B8%93%E5%8C%BA	西雅典专区	zh,en,fi,fr		
https://zh.wikipedia.org/wiki/%E5%87%B1%E6%92%92%E9%A6%96%E9%A0%98	凱撒首領	zh,en,fi,fr,sv	Vem är trummaren i Kaiser Chiefs?	
https://sv.wikipedia.org/wiki/19521_Chaos	19521 Chaos	sv,en,fr,fi,zh	Vad syftar namnet på i 19521-Chaos-objektet som ligger i Kuiperbältet?	
https://zh.wikipedia.org/wiki/%E7%9B%8E%E6%A0%BC%E9%AD%AF%E6%84%9B%E7%88%BE%E8%98%AD%E4%BA%BA	盎格魯愛爾蘭人	zh,en,fi,fr,sv		
